time;gFx;gFy;gFz;tgF
0;0.091;-0.522;-0.81;0.968
.0070;0.103;-0.496;-0.776;0.927
.0170;0.11;-0.486;-0.817;0.957
.0270;0.106;-0.496;-0.859;0.998
.0370;0.099;-0.53;-0.873;1.026
.0620;0.088;-0.55;-0.862;1.026
.0630;0.088;-0.55;-0.862;1.026
.0670;0.071;-0.547;-0.89;1.047
.0770;0.046;-0.54;-0.867;1.022
.0870;0.035;-0.517;-0.832;0.98
.0970;0.025;-0.504;-0.841;0.981
.1070;0.02;-0.493;-0.829;0.965
.1170;0.042;-0.479;-0.799;0.933
.1270;0.043;-0.49;-0.809;0.947
.1370;0.049;-0.513;-0.827;0.974
.1620;0.034;-0.523;-0.851;0.999
.1630;0.034;-0.523;-0.851;0.999
.1670;0.032;-0.532;-0.855;1.008
.1770;0.026;-0.543;-0.858;1.016
.1870;0.022;-0.56;-0.867;1.032
.1970;0.028;-0.565;-0.874;1.041
.2070;0.029;-0.551;-0.863;1.024
.2170;0.028;-0.539;-0.854;1.01
.2270;0.027;-0.54;-0.857;1.013
.2370;0.025;-0.541;-0.859;1.015
.2470;0.018;-0.543;-0.851;1.01
.2650;0.016;-0.545;-0.846;1.006
.2670;0.022;-0.545;-0.849;1.009
.2810;0.026;-0.541;-0.858;1.015
.2860;0.027;-0.534;-0.863;1.015
.2960;0.026;-0.533;-0.863;1.015
.3060;0.025;-0.53;-0.865;1.015
.3170;0.017;-0.535;-0.856;1.01
.3260;0.018;-0.543;-0.851;1.01
.3370;0.022;-0.549;-0.868;1.027
.3630;0.025;-0.525;-0.877;1.022
.3640;0.025;-0.525;-0.877;1.022
.3670;0.023;-0.514;-0.878;1.018
.3760;0.042;-0.494;-0.905;1.032
.3860;0.038;-0.49;-0.901;1.026
.3960;0.012;-0.513;-0.861;1.002
.4070;0.006;-0.517;-0.855;0.999
.4160;0.004;-0.5;-0.876;1.009
.4260;0.004;-0.48;-0.897;1.017
.4360;0.012;-0.467;-0.902;1.016
.4630;0.033;-0.458;-0.894;1.005
.4640;0.033;-0.458;-0.894;1.005
.4670;0.034;-0.46;-0.893;1.005
.4760;0.025;-0.457;-0.89;1.001
.4860;-0.02;-0.428;-0.902;0.999
.4960;0.042;-0.437;-0.892;0.994
.5060;0.036;-0.437;-0.893;0.995
.5160;0.056;-0.432;-0.906;1.005
.5260;0.053;-0.431;-0.899;0.998
.5360;0.046;-0.417;-0.902;0.995
.5650;0.053;-0.413;-0.915;1.005
.5660;0.053;-0.413;-0.915;1.005
.5680;0.053;-0.413;-0.915;1.005
.5760;0.055;-0.417;-0.905;0.998
.5860;0.05;-0.419;-0.891;0.986
.5950;0.048;-0.416;-0.903;0.995
.6060;0.048;-0.421;-0.916;1.009
.6160;0.043;-0.433;-0.918;1.016
.6260;0.035;-0.441;-0.913;1.015
.6360;0.03;-0.443;-0.911;1.013
.6630;0.045;-0.44;-0.915;1.016
.6640;0.045;-0.44;-0.915;1.016
.6660;0.055;-0.438;-0.921;1.021
.6760;0.054;-0.436;-0.926;1.025
.6850;0.05;-0.438;-0.925;1.025
.6950;0.029;-0.437;-0.934;1.032
.7050;-0.039;-0.411;-0.968;1.052
.7160;-0.009;-0.427;-0.944;1.036
.7260;0.03;-0.454;-0.912;1.019
.7350;0.028;-0.418;-0.934;1.024
.7630;0.019;-0.407;-0.973;1.055
.7630;0.019;-0.407;-0.973;1.055
.7660;0.05;-0.411;-0.921;1.01
.7750;0.007;-0.388;-0.946;1.023
.7850;0.02;-0.385;-0.946;1.022
