time;gFx;gFy;gFz;tgF
0;0.047;-0.334;-0.988;1.044
.0010;0.047;-0.334;-0.988;1.044
.0020;0.047;-0.334;-0.988;1.044
.0150;0.0;-0.294;-0.888;0.935
.0190;-0.03;-0.255;-0.82;0.859
.0370;-0.06;-0.245;-0.775;0.815
.0390;-0.083;-0.247;-0.766;0.809
.0490;-0.066;-0.251;-0.795;0.836
.0590;-0.043;-0.249;-0.826;0.864
.0690;-0.023;-0.241;-0.868;0.901
.0810;-0.025;-0.237;-0.913;0.944
.0940;-0.032;-0.232;-0.96;0.988
.0990;-0.031;-0.213;-0.996;1.019
.1160;-0.019;-0.208;-1.032;1.053
.1190;-0.005;-0.215;-1.07;1.091
.1300;-0.001;-0.236;-1.1;1.125
.1390;-0.002;-0.263;-1.103;1.134
.1490;-0.011;-0.289;-1.077;1.115
.1590;-0.019;-0.318;-1.036;1.084
.1690;-0.024;-0.339;-0.992;1.049
.1960;-0.042;-0.348;-0.926;0.99
.1970;-0.042;-0.348;-0.926;0.99
.1990;-0.045;-0.339;-0.914;0.976
.2090;-0.045;-0.334;-0.911;0.971
.2190;-0.039;-0.331;-0.915;0.974
.2290;-0.033;-0.332;-0.925;0.983
.2390;-0.03;-0.325;-0.943;0.998
.2490;-0.029;-0.311;-0.957;1.007
.2590;-0.027;-0.299;-0.969;1.014
.2690;-0.027;-0.29;-0.972;1.015
.2950;-0.032;-0.276;-0.955;0.995
.2960;-0.032;-0.276;-0.955;0.995
.2980;-0.03;-0.263;-0.95;0.986
.3080;-0.028;-0.256;-0.951;0.985
.3190;-0.024;-0.257;-0.968;1.002
.3280;-0.023;-0.267;-0.987;1.023
.3380;-0.023;-0.271;-0.998;1.034
.3490;-0.023;-0.276;-1.001;1.039
.3590;-0.019;-0.284;-0.986;1.026
.3680;-0.023;-0.293;-0.966;1.01
.3950;-0.034;-0.293;-0.931;0.977
.3960;-0.034;-0.293;-0.931;0.977
.3980;-0.031;-0.283;-0.924;0.967
.4080;-0.023;-0.268;-0.928;0.966
.4180;-0.02;-0.248;-0.936;0.969
.4280;-0.017;-0.234;-0.936;0.965
.4380;-0.02;-0.225;-0.938;0.965
.4490;-0.029;-0.225;-0.942;0.969
.4590;-0.037;-0.224;-0.934;0.961
.4690;-0.036;-0.217;-0.913;0.939
.4780;-0.035;-0.209;-0.893;0.918
.4980;-0.038;-0.174;-0.877;0.895
.4990;-0.038;-0.174;-0.877;0.895
.5080;-0.04;-0.155;-0.872;0.887
.5180;-0.041;-0.139;-0.865;0.877
.5280;-0.041;-0.134;-0.861;0.872
.5380;-0.049;-0.134;-0.855;0.867
.5480;-0.05;-0.124;-0.841;0.852
.5580;-0.039;-0.12;-0.823;0.833
.5680;-0.022;-0.127;-0.816;0.826
.5940;-0.003;-0.131;-0.823;0.833
.5940;-0.003;-0.131;-0.823;0.833
.5980;0.003;-0.134;-0.824;0.835
.6080;0.02;-0.15;-0.817;0.831
.6170;0.035;-0.18;-0.805;0.826
.6280;0.046;-0.209;-0.796;0.824
.6380;0.05;-0.232;-0.805;0.839
.6480;0.048;-0.249;-0.809;0.848
.6580;0.046;-0.251;-0.819;0.858
.6680;0.065;-0.251;-0.847;0.886
.6950;0.114;-0.278;-0.888;0.937
.6960;0.114;-0.278;-0.888;0.937
.6980;0.13;-0.295;-0.876;0.933
.7080;0.135;-0.309;-0.858;0.922
.7170;0.14;-0.321;-0.842;0.912
.7270;0.151;-0.331;-0.844;0.919
.7370;0.145;-0.278;-0.943;0.994
.7480;0.105;-0.113;-1.061;1.072
.7580;0.15;-0.304;-0.77;0.841
.7670;0.121;-0.312;-0.733;0.806
.7960;0.033;-0.267;-0.573;0.633
.7970;0.09;-0.211;-0.745;0.78
.7980;0.09;-0.211;-0.745;0.78
.8070;0.116;-0.185;-0.793;0.823
.8170;0.122;-0.263;-0.737;0.792
.8270;0.119;-0.302;-0.707;0.778
.8370;0.082;-0.263;-0.769;0.817
.8470;0.031;-0.174;-0.911;0.928
.8580;-0.008;-0.093;-1.013;1.017
.8670;-0.024;-0.083;-1.044;1.048
.8940;-0.071;-0.136;-1.024;1.035
.8950;-0.071;-0.136;-1.024;1.035
.8970;0.002;-0.096;-0.988;0.993
.9070;-0.028;-0.125;-0.975;0.983
.9170;-0.025;-0.159;-0.859;0.874
.9270;0.031;-0.115;-0.789;0.798
.9370;0.045;-0.093;-0.786;0.793
