time;gFx;gFy;gFz;tgF
0;-0.072;-0.792;-0.563;0.974
0;-0.072;-0.792;-0.563;0.974
.0040;-0.063;-0.799;-0.584;0.992
.0140;-0.056;-0.82;-0.618;1.028
.0240;-0.059;-0.845;-0.626;1.053
.0340;-0.067;-0.847;-0.643;1.066
.0440;-0.061;-0.756;-0.746;1.064
.0540;-0.048;-0.692;-0.62;0.93
.0640;-0.076;-0.742;-0.548;0.926
.0740;-0.084;-0.789;-0.555;0.968
.0850;-0.098;-0.79;-0.604;0.999
.1020;-0.095;-0.767;-0.642;1.005
.1040;-0.07;-0.731;-0.706;1.019
.1140;-0.052;-0.714;-0.761;1.045
.1240;-0.025;-0.708;-0.761;1.04
.1340;-0.054;-0.713;-0.714;1.01
.1440;-0.111;-0.732;-0.638;0.977
.1540;-0.148;-0.715;-0.622;0.959
.1640;-0.275;-0.692;-0.696;1.019
.1740;-0.235;-0.741;-0.629;1.0
.1840;-0.235;-0.716;-0.537;0.925
.2050;-0.086;-0.655;-0.346;0.746
.2060;-0.086;-0.655;-0.346;0.746
.2140;-0.051;-0.689;-0.41;0.803
.2240;0.012;-0.81;-0.735;1.094
.2340;-0.127;-0.784;-0.686;1.049
.2440;-0.096;-0.847;-0.792;1.164
.2540;-0.082;-0.826;-0.733;1.107
.2640;-0.017;-0.828;-0.614;1.031
.2740;0.029;-0.811;-0.598;1.008
.2990;0.227;-0.788;-0.9;1.218
.3000;0.227;-0.788;-0.9;1.218
.3030;0.164;-0.813;-1.297;1.54
.3140;-0.019;-0.843;-0.953;1.272
.3240;-0.122;-0.831;-0.569;1.014
.3340;-0.107;-0.749;-0.571;0.948
.3430;-0.051;-0.675;-0.675;0.956
.3530;-0.06;-0.639;-0.746;0.984
.3630;-0.055;-0.673;-0.721;0.988
.3740;0.013;-0.621;-0.797;1.01
.4000;0.098;-0.508;-0.744;0.906
.4010;0.098;-0.508;-0.744;0.906
.4030;0.066;-0.503;-0.459;0.684
.4130;-0.029;-0.574;-0.535;0.785
.4230;-0.087;-0.639;-0.711;0.96
.4330;-0.096;-0.644;-0.781;1.017
.4430;-0.042;-0.61;-0.707;0.935
.4530;0.028;-0.586;-0.704;0.916
.4640;0.062;-0.619;-0.757;0.98
.4740;0.063;-0.615;-0.917;1.106
.5010;-0.011;-0.69;-0.825;1.076
.5020;-0.011;-0.69;-0.825;1.076
.5040;0.023;-0.752;-0.566;0.941
.5130;-0.011;-0.688;-0.666;0.958
.5230;-0.126;-0.615;-0.978;1.162
.5330;-0.053;-0.58;-0.866;1.044
.5430;-0.004;-0.569;-0.67;0.879
.5530;-0.092;-0.593;-0.826;1.021
.5630;0.017;-0.585;-0.904;1.077
.5730;0.124;-0.551;-0.939;1.096
.5990;0.081;-0.513;-0.905;1.043
.6000;0.081;-0.513;-0.905;1.043
.6020;0.083;-0.503;-0.914;1.047
.6130;0.102;-0.454;-0.97;1.076
.6230;0.077;-0.409;-1.008;1.091
.6330;0.021;-0.404;-0.985;1.065
.6430;-0.025;-0.414;-0.972;1.057
.6530;-0.065;-0.397;-1.011;1.088
.6630;-0.107;-0.378;-1.057;1.128
.6730;-0.096;-0.359;-1.074;1.136
.6990;0.053;-0.272;-1.032;1.069
.7000;0.053;-0.272;-1.032;1.069
.7020;0.003;-0.281;-0.884;0.928
.7130;-0.005;-0.253;-0.939;0.972
.7220;0.037;-0.305;-1.011;1.057
.7320;0.004;-0.275;-0.89;0.932
.7420;0.054;-0.257;-0.921;0.958
.7520;0.066;-0.149;-0.947;0.961
.7620;-0.068;-0.222;-1.014;1.04
.7740;-0.081;-0.277;-0.914;0.958
.7820;0.112;-0.22;-0.819;0.855
.8000;0.323;-0.207;-0.74;0.834
.8020;0.529;-0.26;-0.718;0.929
.8130;0.669;-0.331;-0.736;1.048
.8220;0.642;-0.356;-0.759;1.056
.8320;0.512;-0.302;-0.783;0.983
.8420;0.43;-0.239;-0.771;0.915
.8530;0.416;-0.227;-0.776;0.909
.8630;0.374;-0.243;-0.808;0.923
.8720;0.301;-0.255;-0.778;0.872
.8990;0.332;-0.273;-0.712;0.832
.9000;0.332;-0.273;-0.712;0.832
.9020;0.333;-0.259;-0.762;0.871
.9120;0.351;-0.228;-0.822;0.922
.9220;0.359;-0.217;-0.833;0.933
.9320;0.444;-0.292;-0.848;1.001
.9420;0.507;-0.368;-0.986;1.168
.9520;0.488;-0.373;-1.102;1.262
.9620;0.44;-0.366;-1.08;1.222
.9720;0.343;-0.351;-1.022;1.134
.9980;0.15;-0.341;-1.435;1.483
.9990;0.15;-0.341;-1.435;1.483
1.0020;0.187;-0.384;-1.531;1.589
1.0120;0.305;-0.318;-1.291;1.364
1.0220;0.368;-0.2;-1.048;1.129
1.0320;0.366;-0.161;-0.976;1.055
1.0420;0.256;-0.271;-1.057;1.121
1.0520;0.196;-0.338;-1.102;1.169
1.0620;0.151;-0.295;-1.057;1.108
1.0720;0.1;-0.232;-1.0;1.031
1.1030;-0.088;-0.248;-1.048;1.081
1.1040;-0.088;-0.248;-1.048;1.081
1.1050;-0.088;-0.248;-1.048;1.081
1.1110;-0.132;-0.218;-1.129;1.157
1.1210;-0.134;-0.228;-1.129;1.16
1.1320;-0.054;-0.236;-1.028;1.056
1.1420;-0.006;-0.279;-0.934;0.975
1.1520;-0.1;-0.33;-0.884;0.949
1.1620;-0.234;-0.328;-0.884;0.971
1.1710;-0.294;-0.233;-0.88;0.957
1.2010;-0.1;-0.074;-0.931;0.939
1.2020;-0.1;-0.074;-0.931;0.939
1.2040;-0.1;-0.074;-0.931;0.939
1.2110;-0.106;-0.128;-0.984;0.998
1.2210;-0.124;-0.195;-1.025;1.051
1.2310;-0.139;-0.214;-1.005;1.037
1.2410;-0.153;-0.183;-0.918;0.948
1.2510;-0.293;-0.154;-0.765;0.834
1.2610;-0.365;-0.16;-0.774;0.871
1.2710;-0.289;-0.149;-0.601;0.683
1.3000;-0.216;-0.117;-0.943;0.974
1.3010;-0.216;-0.117;-0.943;0.974
1.3030;-0.216;-0.117;-0.943;0.974
1.3110;-0.104;-0.218;-0.952;0.982
1.3210;-0.143;-0.235;-1.073;1.108
1.3310;-0.125;-0.243;-1.132;1.165
1.3410;-0.106;-0.26;-1.146;1.18
1.3510;-0.107;-0.236;-1.168;1.196
1.3610;-0.119;-0.214;-1.142;1.168
1.3710;-0.172;-0.206;-1.112;1.144
1.4020;-0.364;-0.395;-0.982;1.119
1.4030;-0.364;-0.395;-0.982;1.119
1.4030;-0.364;-0.395;-0.982;1.119
1.4110;-0.431;-0.294;-0.928;1.065
1.4210;-0.53;-0.193;-0.927;1.085
1.4310;-0.484;-0.169;-0.938;1.069
1.4410;-0.5;-0.167;-0.896;1.04
1.4510;-0.566;-0.179;-0.907;1.084
1.4610;-0.6;-0.185;-0.918;1.112
1.4710;-0.56;-0.194;-0.887;1.067
1.5010;-0.358;-0.271;-1.177;1.26
1.5020;-0.358;-0.271;-1.177;1.26
1.5030;-0.358;-0.271;-1.177;1.26
1.5100;-0.219;-0.29;-1.254;1.306
1.5200;-0.081;-0.325;-1.186;1.232
1.5300;0.009;-0.361;-1.104;1.162
1.5410;0.048;-0.371;-0.996;1.064
1.5500;0.03;-0.388;-0.87;0.953
1.5610;-0.046;-0.452;-0.888;0.997
1.5700;-0.079;-0.513;-0.957;1.089
1.6000;-0.014;-0.419;-0.841;0.94
1.6010;-0.014;-0.419;-0.841;0.94
1.6030;-0.014;-0.419;-0.841;0.94
1.6100;-0.07;-0.389;-0.787;0.881
1.6200;-0.153;-0.362;-0.796;0.888
1.6310;-0.226;-0.338;-0.818;0.913
1.6400;-0.253;-0.311;-0.847;0.937
1.6500;-0.184;-0.297;-0.804;0.877
1.6610;-0.192;-0.323;-0.692;0.787
1.6700;-0.344;-0.363;-0.707;0.866
1.7010;-0.716;-0.553;-0.694;1.14
1.7020;-0.716;-0.553;-0.694;1.14
1.7030;-0.716;-0.553;-0.694;1.14
1.7100;-0.794;-0.54;-0.721;1.201
1.7200;-0.778;-0.552;-0.741;1.208
1.7300;-0.691;-0.565;-0.699;1.134
1.7400;-0.617;-0.559;-0.676;1.072
1.7500;-0.604;-0.536;-0.716;1.079
1.7600;-0.601;-0.506;-0.763;1.095
1.7700;-0.567;-0.491;-0.755;1.064
1.7980;-0.612;-0.462;-0.826;1.127
1.8000;-0.612;-0.462;-0.826;1.127
1.8010;-0.612;-0.462;-0.826;1.127
1.8100;-0.573;-0.457;-0.809;1.092
1.8200;-0.515;-0.436;-0.807;1.052
1.8300;-0.487;-0.409;-0.858;1.068
1.8390;-0.418;-0.378;-0.861;1.029
1.8500;-0.315;-0.354;-0.806;0.935
1.8600;-0.282;-0.346;-0.789;0.907
1.8700;-0.32;-0.34;-0.862;0.98
1.8980;-0.403;-0.299;-0.988;1.108
1.8990;-0.421;-0.343;-0.974;1.115
1.9010;-0.421;-0.343;-0.974;1.115
1.9100;-0.414;-0.411;-0.943;1.109
1.9190;-0.406;-0.459;-0.913;1.1
1.9290;-0.417;-0.49;-0.927;1.128
1.9390;-0.466;-0.507;-1.0;1.214
1.9500;-0.524;-0.495;-1.043;1.268
1.9600;-0.571;-0.435;-1.114;1.325
1.9690;-0.61;-0.413;-1.172;1.384
1.9970;-0.452;-0.441;-0.977;1.163
1.9980;-0.376;-0.456;-0.874;1.055
2.0000;-0.376;-0.456;-0.874;1.055
2.0090;-0.342;-0.467;-0.883;1.056
2.0190;-0.333;-0.455;-0.991;1.14
2.0290;-0.348;-0.363;-1.021;1.138
2.0390;-0.331;-0.261;-0.858;0.956
2.0490;-0.285;-0.206;-0.663;0.75
2.0600;-0.264;-0.207;-0.57;0.661
2.0690;-0.279;-0.257;-0.628;0.734
2.0970;-0.326;-0.316;-0.835;0.95
2.0980;-0.264;-0.271;-0.915;0.99
2.1000;-0.264;-0.271;-0.915;0.99
2.1090;-0.19;-0.246;-0.936;0.986
2.1190;-0.218;-0.233;-0.897;0.952
2.1290;-0.345;-0.229;-0.739;0.847
2.1390;-0.423;-0.261;-0.646;0.815
2.1490;-0.432;-0.336;-0.633;0.837
2.1590;-0.552;-0.38;-0.576;0.884
2.1690;-0.687;-0.423;-0.535;0.968
2.1970;-0.79;-0.498;-0.355;0.999
2.1980;-0.766;-0.538;-0.355;1.001
2.2000;-0.766;-0.538;-0.355;1.001
2.2090;-0.692;-0.562;-0.513;1.029
2.2190;-0.658;-0.547;-0.678;1.092
2.2280;-0.655;-0.54;-0.844;1.197
2.2380;-0.667;-0.488;-0.889;1.214
2.2480;-0.678;-0.448;-0.872;1.192
2.2580;-0.683;-0.448;-0.876;1.198
2.2690;-0.643;-0.431;-0.843;1.144
2.2950;-0.567;-0.541;-0.753;1.087
2.2950;-0.567;-0.541;-0.753;1.087
2.2980;-0.58;-0.549;-0.716;1.073
2.3080;-0.648;-0.522;-0.706;1.091
2.3180;-0.723;-0.421;-0.667;1.07
2.3280;-0.726;-0.296;-0.613;0.995
2.3380;-0.662;-0.209;-0.621;0.931
2.3490;-0.603;-0.156;-0.661;0.908
2.3590;-0.538;-0.134;-0.731;0.917
2.3690;-0.478;-0.116;-0.777;0.92
2.3960;-0.394;-0.093;-0.803;0.899
2.3970;-0.342;-0.125;-0.817;0.894
2.3990;-0.342;-0.125;-0.817;0.894
2.4080;-0.298;-0.178;-0.838;0.907
2.4180;-0.275;-0.222;-0.826;0.898
2.4280;-0.28;-0.277;-0.869;0.954
2.4380;-0.352;-0.362;-0.806;0.951
2.4490;-0.299;-0.384;-0.719;0.868
2.4580;-0.321;-0.436;-0.786;0.954
2.4680;-0.363;-0.457;-0.755;0.954
2.4960;-0.325;-0.55;-0.772;1.002
2.4970;-0.292;-0.499;-0.728;0.93
2.4990;-0.292;-0.499;-0.728;0.93
2.5080;-0.265;-0.451;-0.729;0.897
2.5180;-0.258;-0.476;-0.78;0.949
2.5280;0.004;-0.529;-0.805;0.963
2.5380;-0.086;-0.687;-0.738;1.012
2.5480;-0.492;-0.883;-0.695;1.227
2.5580;-0.682;-0.971;-0.599;1.329
2.5680;-0.355;-0.884;-0.991;1.375
2.5940;-0.573;-0.901;-0.869;1.377
2.5950;-0.573;-0.901;-0.869;1.377
2.5970;-0.703;-0.986;-0.719;1.408
2.6080;-0.674;-0.969;-0.598;1.323
2.6170;-0.56;-0.87;-0.472;1.137
2.6270;-0.383;-0.688;-0.309;0.846
2.6370;-0.246;-0.511;-0.241;0.616
2.6470;-0.216;-0.442;-0.227;0.542
2.6570;-0.293;-0.509;-0.143;0.604
2.6670;-0.297;-0.608;-0.046;0.678
2.6940;-0.308;-0.764;-0.216;0.852
2.6940;-0.308;-0.764;-0.216;0.852
2.6970;-0.341;-0.849;-0.303;0.964
2.7070;-0.419;-0.92;-0.301;1.055
2.7170;-0.408;-0.964;-0.209;1.067
2.7270;-0.367;-0.988;-0.171;1.068
2.7370;-0.321;-0.96;-0.167;1.026
2.7470;-0.331;-0.896;-0.218;0.98
2.7570;-0.406;-0.857;-0.313;0.999
2.7670;-0.474;-0.834;-0.327;1.013
2.7930;-0.556;-0.736;-0.209;0.946
2.7940;-0.556;-0.736;-0.209;0.946
2.7970;-0.525;-0.625;-0.646;1.041
2.8070;-0.689;-0.617;-0.914;1.3
2.8170;-0.876;-0.781;-0.59;1.314
2.8270;-0.899;-0.913;-0.449;1.358
2.8370;-0.829;-0.948;-0.551;1.375
2.8470;-0.681;-0.943;-0.638;1.327
2.8570;-0.614;-0.887;-0.631;1.25
2.8670;-0.618;-0.767;-0.567;1.137
2.8940;-0.38;-0.521;-0.139;0.66
2.8940;-0.38;-0.521;-0.139;0.66
2.8970;-0.433;-0.509;-0.624;0.914
2.9070;-0.44;-0.564;-0.591;0.928
2.9170;-0.478;-0.542;-0.55;0.908
2.9270;-0.503;-0.578;-0.607;0.978
2.9360;-0.525;-0.67;-0.652;1.072
2.9470;-0.567;-0.679;-0.602;1.07
2.9570;-0.664;-0.709;-0.618;1.151
2.9670;-0.475;-0.716;-0.622;1.061
2.9940;0.001;-0.573;-0.415;0.707
2.9940;0.001;-0.573;-0.415;0.707
2.9960;0.063;-0.587;-0.288;0.657
3.0060;-0.073;-0.596;-0.233;0.644
3.0160;-0.196;-0.599;-0.18;0.655
3.0260;-0.312;-0.646;-0.149;0.733
3.0360;-0.384;-0.703;-0.183;0.822
3.0470;-0.397;-0.797;-0.231;0.92
3.0570;-0.389;-0.926;-0.281;1.043
3.0670;-0.398;-1.019;-0.328;1.142
3.0950;-0.465;-1.087;-0.372;1.239
3.0960;-0.492;-1.007;-0.258;1.15
3.0980;-0.492;-1.007;-0.258;1.15
3.1060;-0.578;-0.979;-0.166;1.149
3.1160;-0.644;-0.893;-0.108;1.106
3.1260;-0.689;-0.818;-0.106;1.075
3.1360;-0.71;-0.796;-0.073;1.069
3.1460;-0.716;-0.8;-0.064;1.076
3.1570;-0.688;-0.775;-0.096;1.041
3.1660;-0.623;-0.771;-0.145;1.002
3.1790;-0.639;-0.963;-0.185;1.17
3.1950;-0.63;-0.92;-0.073;1.117
3.1970;-0.63;-0.92;-0.073;1.117
3.2150;-0.572;-0.9;-0.069;1.069
3.2170;-0.572;-0.9;-0.069;1.069
3.2270;-0.56;-0.893;-0.073;1.057
3.2360;-0.523;-0.86;-0.085;1.01
3.2460;-0.481;-0.827;-0.09;0.961
3.2570;-0.443;-0.78;-0.098;0.902
3.2660;-0.404;-0.726;-0.123;0.84
3.2920;-0.356;-0.669;-0.214;0.787
3.2930;-0.356;-0.669;-0.214;0.787
3.2950;-0.332;-0.709;-0.287;0.834
3.3060;-0.301;-0.792;-0.341;0.913
3.3160;-0.274;-0.844;-0.379;0.965
3.3260;-0.293;-0.826;-0.399;0.963
3.3360;-0.317;-0.74;-0.356;0.88
3.3460;-0.361;-0.713;-0.411;0.899
3.3560;-0.425;-0.684;-0.48;0.937
3.3660;-0.445;-0.638;-0.515;0.933
3.3760;-0.459;-0.672;-0.583;1.001
3.3950;-0.461;-0.751;-0.601;1.067
3.3970;-0.461;-0.751;-0.601;1.067
3.4130;-0.465;-0.73;-0.509;1.004
3.4150;-0.488;-0.824;-0.628;1.145
3.4280;-0.457;-0.821;-0.637;1.135
3.4350;-0.37;-0.778;-0.586;1.042
3.4490;-0.307;-0.815;-0.609;1.063
3.4550;-0.251;-0.837;-0.576;1.047
3.4650;-0.238;-0.837;-0.553;1.031
3.4920;-0.326;-0.778;-0.48;0.971
3.4930;-0.326;-0.778;-0.48;0.971
3.4950;-0.359;-0.743;-0.423;0.927
3.5050;-0.376;-0.724;-0.368;0.895
3.5150;-0.367;-0.736;-0.383;0.907
3.5250;-0.33;-0.805;-0.42;0.966
3.5350;-0.264;-0.918;-0.415;1.041
3.5450;-0.233;-1.029;-0.486;1.162
3.5550;-0.225;-1.036;-0.452;1.152
3.5650;-0.231;-1.037;-0.378;1.128
3.5910;-0.285;-1.032;-0.325;1.119
3.5920;-0.285;-1.032;-0.325;1.119
3.5950;-0.306;-1.002;-0.32;1.095
3.6050;-0.336;-1.025;-0.352;1.135
3.6150;-0.322;-1.057;-0.38;1.168
3.6250;-0.303;-1.096;-0.379;1.199
3.6350;-0.295;-1.103;-0.379;1.203
3.6450;-0.325;-1.082;-0.39;1.195
3.6550;-0.364;-1.012;-0.398;1.147
3.6650;-0.387;-0.999;-0.43;1.154
3.6770;-0.408;-1.138;-0.518;1.315
3.6890;-0.396;-1.221;-0.587;1.411
3.6940;-0.371;-1.235;-0.626;1.433
3.7050;-0.379;-1.113;-0.516;1.284
3.7150;-0.416;-1.027;-0.436;1.191
3.7250;-0.476;-1.0;-0.388;1.174
3.7350;-0.505;-0.967;-0.36;1.149
3.7450;-0.506;-0.942;-0.294;1.109
3.7550;-0.486;-0.904;-0.208;1.047
3.7650;-0.434;-0.853;-0.174;0.973
3.7750;-0.361;-0.78;-0.143;0.871
3.7920;-0.303;-0.721;-0.138;0.794
3.7950;-0.229;-0.697;-0.261;0.779
3.8150;-0.199;-0.631;-0.313;0.732
3.8160;-0.199;-0.631;-0.313;0.732
3.8240;-0.177;-0.594;-0.318;0.697
3.8340;-0.135;-0.575;-0.319;0.671
3.8440;-0.113;-0.584;-0.349;0.69
3.8550;-0.101;-0.635;-0.431;0.774
3.8650;-0.089;-0.67;-0.489;0.834
3.8910;-0.079;-0.771;-0.613;0.988
3.8920;-0.079;-0.771;-0.613;0.988
3.8940;-0.082;-0.922;-0.605;1.106
3.9040;-0.09;-0.99;-0.656;1.191
3.9150;-0.064;-0.938;-0.772;1.217
3.9240;-0.1;-0.985;-0.734;1.232
3.9340;-0.197;-1.053;-0.435;1.156
3.9450;-0.253;-1.064;-0.244;1.121
3.9540;-0.42;-1.142;0.024;1.217
3.9650;-0.427;-1.179;0.028;1.254
3.9920;-0.386;-1.221;-0.024;1.281
3.9930;-0.386;-1.221;-0.024;1.281
3.9950;-0.304;-1.177;-0.15;1.225
4.0040;-0.32;-1.116;-0.293;1.197
4.0140;-0.259;-1.015;-0.367;1.11
4.0240;-0.251;-0.969;-0.461;1.102
4.0340;-0.317;-0.893;-0.482;1.063
4.0440;-0.295;-0.784;-0.509;0.98
4.0540;-0.27;-0.743;-0.493;0.932
