time;gFx;gFy;gFz;tgF
0;-0.106;-0.473;-0.865;0.992
.0080;-0.095;-0.476;-0.829;0.961
.0180;-0.082;-0.483;-0.852;0.983
.0280;-0.082;-0.48;-0.894;1.018
.0410;-0.103;-0.475;-0.905;1.027
.0570;-0.125;-0.471;-0.9;1.023
.0590;-0.125;-0.471;-0.9;1.023
.0680;-0.144;-0.5;-0.845;0.992
.0770;-0.119;-0.509;-0.818;0.971
.0870;-0.08;-0.475;-0.85;0.977
.0970;-0.057;-0.438;-0.913;1.014
.1070;-0.066;-0.421;-0.934;1.027
.1170;-0.093;-0.428;-0.945;1.042
.1280;-0.116;-0.431;-0.931;1.032
.1530;-0.13;-0.438;-0.932;1.038
.1540;-0.13;-0.438;-0.932;1.038
.1570;-0.107;-0.452;-0.923;1.033
.1670;-0.105;-0.458;-0.91;1.024
.1770;-0.108;-0.469;-0.91;1.029
.1870;-0.119;-0.485;-0.893;1.023
.1970;-0.141;-0.475;-0.902;1.029
.2070;-0.169;-0.468;-0.843;0.979
.2170;-0.183;-0.484;-0.868;1.011
.2280;-0.172;-0.535;-0.949;1.103
.2370;-0.173;-0.556;-0.978;1.138
.2540;-0.181;-0.56;-0.953;1.12
.2570;-0.184;-0.556;-0.924;1.094
.2770;-0.135;-0.529;-0.903;1.055
.2780;-0.135;-0.529;-0.903;1.055
.2910;-0.092;-0.528;-0.887;1.036
.2970;-0.057;-0.501;-0.878;1.012
.3080;-0.033;-0.48;-0.897;1.018
.3170;-0.012;-0.478;-0.944;1.058
.3270;-0.0;-0.461;-0.96;1.065
.3530;-0.006;-0.411;-0.885;0.976
.3540;-0.006;-0.411;-0.885;0.976
.3560;0.009;-0.399;-0.885;0.971
.3670;0.045;-0.383;-0.872;0.953
.3770;0.065;-0.38;-0.861;0.943
.3870;0.033;-0.394;-0.844;0.932
.3970;-0.002;-0.39;-0.842;0.928
.4070;-0.009;-0.379;-0.889;0.966
.4170;-0.013;-0.408;-0.918;1.005
.4270;-0.026;-0.442;-0.91;1.012
.4540;-0.071;-0.458;-0.875;0.99
.4550;-0.071;-0.458;-0.875;0.99
.4570;-0.112;-0.466;-0.861;0.985
.4660;-0.145;-0.468;-0.845;0.977
.4760;-0.159;-0.465;-0.88;1.008
.4860;-0.15;-0.469;-0.902;1.028
.4970;-0.132;-0.472;-0.895;1.02
.5070;-0.139;-0.454;-0.877;0.997
.5160;-0.133;-0.426;-0.831;0.943
.5270;-0.121;-0.436;-0.821;0.937
.5550;-0.047;-0.504;-0.958;1.084
.5560;-0.047;-0.504;-0.958;1.084
.5580;-0.047;-0.504;-0.958;1.084
.5660;-0.044;-0.519;-0.943;1.077
.5760;-0.048;-0.491;-0.965;1.084
