time;gFx;gFy;gFz;tgF
0;-0.133;-0.232;-0.918;0.956
.0070;-0.166;-0.221;-0.773;0.821
.0170;-0.16;-0.216;-0.813;0.856
.0270;-0.162;-0.225;-0.943;0.983
.0470;-0.198;-0.281;-0.99;1.048
.0490;-0.198;-0.281;-0.99;1.048
.0570;-0.182;-0.259;-0.992;1.041
.0670;-0.142;-0.203;-1.015;1.045
.0770;-0.124;-0.246;-1.0;1.037
.0870;-0.111;-0.275;-0.991;1.034
.0970;-0.086;-0.269;-0.978;1.018
.1080;-0.096;-0.24;-0.972;1.006
.1180;-0.148;-0.192;-1.01;1.039
.1280;-0.161;-0.124;-0.995;1.016
.1490;-0.028;-0.13;-0.915;0.925
.1490;-0.028;-0.13;-0.915;0.925
.1570;-0.05;-0.186;-0.896;0.916
.1670;-0.028;-0.206;-0.92;0.943
.1770;-0.073;-0.224;-0.928;0.957
.1870;-0.113;-0.26;-0.949;0.99
.1980;-0.117;-0.286;-0.967;1.015
.2070;-0.097;-0.299;-0.965;1.015
.2180;-0.057;-0.296;-0.972;1.018
.2270;-0.034;-0.297;-0.988;1.032
.2480;-0.049;-0.316;-1.024;1.073
.2480;-0.049;-0.316;-1.024;1.073
.2570;-0.051;-0.293;-1.002;1.045
.2670;-0.064;-0.286;-1.0;1.042
.2770;-0.069;-0.254;-1.002;1.036
.2870;-0.101;-0.242;-0.984;1.018
.2970;-0.121;-0.272;-0.982;1.026
.3080;-0.113;-0.292;-0.959;1.009
.3170;-0.103;-0.3;-0.95;1.002
.3270;-0.094;-0.275;-0.946;0.99
.3490;-0.126;-0.296;-0.956;1.009
.3500;-0.126;-0.296;-0.956;1.009
.3570;-0.129;-0.324;-0.916;0.98
.3670;-0.132;-0.362;-0.884;0.964
.3770;-0.13;-0.397;-0.881;0.975
.3870;-0.12;-0.408;-0.88;0.977
.3970;-0.118;-0.413;-0.894;0.992
.4070;-0.13;-0.409;-0.911;1.007
.4170;-0.137;-0.391;-0.921;1.01
.4270;-0.129;-0.388;-0.921;1.008
.4480;-0.097;-0.381;-0.946;1.024
.4490;-0.097;-0.381;-0.946;1.024
.4560;-0.098;-0.379;-0.963;1.04
.4660;-0.089;-0.385;-0.961;1.039
.4770;-0.079;-0.395;-0.941;1.024
.4870;-0.075;-0.402;-0.926;1.012
.4970;-0.101;-0.402;-0.898;0.989
.5070;-0.128;-0.392;-0.922;1.01
.5160;-0.128;-0.382;-0.953;1.035
.5270;-0.127;-0.376;-0.943;1.023
.5490;-0.117;-0.374;-0.929;1.008
.5500;-0.117;-0.374;-0.929;1.008
.5560;-0.121;-0.366;-0.93;1.007
.5660;-0.117;-0.358;-0.945;1.017
.5760;-0.107;-0.351;-0.975;1.042
.5870;-0.071;-0.362;-0.99;1.056
.5960;-0.059;-0.356;-1.009;1.072
.6060;-0.051;-0.321;-0.974;1.027
.6160;-0.059;-0.287;-0.95;0.994
.6260;-0.043;-0.305;-0.987;1.034
.6490;-0.053;-0.339;-0.932;0.993
.6500;-0.053;-0.339;-0.932;0.993
.6560;-0.045;-0.34;-0.945;1.005
.6660;-0.039;-0.353;-0.955;1.019
.6760;-0.015;-0.373;-0.966;1.036
.6860;-0.021;-0.392;-0.95;1.028
.6960;-0.044;-0.4;-0.897;0.983
.7060;-0.064;-0.38;-0.878;0.959
.7160;-0.084;-0.345;-0.894;0.962
.7260;-0.104;-0.322;-0.907;0.968
.7470;-0.106;-0.356;-0.95;1.02
.7480;-0.106;-0.356;-0.95;1.02
.7560;-0.122;-0.434;-0.91;1.016
.7660;-0.133;-0.432;-0.937;1.04
.7760;-0.16;-0.422;-0.988;1.086
.7860;-0.255;-0.369;-1.05;1.142
.7960;-0.283;-0.235;-1.078;1.139
.8060;-0.239;-0.251;-0.989;1.048
.8160;-0.264;-0.282;-0.897;0.977
.8260;-0.234;-0.336;-0.808;0.906
.8470;-0.098;-0.448;-0.831;0.949
.8480;-0.098;-0.448;-0.831;0.949
.8550;-0.029;-0.498;-0.879;1.011
.8650;-0.013;-0.499;-0.88;1.012
.8750;-0.061;-0.489;-0.841;0.975
.8850;-0.148;-0.42;-0.814;0.928
.8960;-0.285;-0.334;-0.861;0.966
.9060;-0.367;-0.358;-0.856;0.998
.9160;-0.338;-0.426;-0.831;0.993
.9260;-0.405;-0.488;-0.741;0.975
.9460;-0.425;-0.601;-0.706;1.02
.9470;-0.425;-0.601;-0.706;1.02
.9550;-0.385;-0.642;-0.927;1.192
.9650;-0.329;-0.665;-1.404;1.588
.9760;-0.206;-0.744;-1.363;1.566
.9850;-0.111;-0.695;-1.082;1.291
.9950;-0.163;-0.547;-1.066;1.209
1.0050;-0.261;-0.535;-1.012;1.174
1.0150;-0.286;-0.578;-0.975;1.169
1.0250;-0.282;-0.576;-1.013;1.199
1.0480;-0.405;-0.655;-1.039;1.293
1.0490;-0.405;-0.655;-1.039;1.293
1.0550;-0.398;-0.572;-1.063;1.271
1.0650;-0.39;-0.464;-1.034;1.199
1.0760;-0.322;-0.423;-0.956;1.094
1.0850;-0.237;-0.473;-0.868;1.017
1.0950;-0.215;-0.498;-0.856;1.013
1.1050;-0.23;-0.49;-0.894;1.045
1.1150;-0.238;-0.482;-0.921;1.066
1.1250;-0.269;-0.511;-0.949;1.111
1.1470;-0.352;-0.53;-0.926;1.124
1.1480;-0.352;-0.53;-0.926;1.124
1.1540;-0.332;-0.481;-0.895;1.069
1.1650;-0.273;-0.425;-0.863;1.0
1.1750;-0.266;-0.42;-0.848;0.983
1.1850;-0.249;-0.41;-0.829;0.958
1.1950;-0.243;-0.395;-0.809;0.932
1.2060;-0.211;-0.357;-0.758;0.864
1.2150;-0.178;-0.303;-0.714;0.796
1.2250;-0.119;-0.323;-0.663;0.747
1.2460;-0.136;-0.382;-0.707;0.815
1.2470;-0.136;-0.382;-0.707;0.815
1.2540;-0.215;-0.42;-0.704;0.847
1.2640;-0.187;-0.4;-0.64;0.778
1.2740;-0.143;-0.394;-0.616;0.745
1.2840;-0.177;-0.393;-0.673;0.799
1.2950;-0.17;-0.403;-0.651;0.784
1.3040;-0.186;-0.43;-0.637;0.791
1.3150;-0.22;-0.461;-0.7;0.867
1.3250;-0.188;-0.46;-0.7;0.858
1.3470;-0.097;-0.54;-0.605;0.817
1.3480;-0.097;-0.54;-0.605;0.817
1.3540;-0.17;-0.545;-0.675;0.884
1.3640;-0.232;-0.52;-0.716;0.915
1.3740;-0.237;-0.552;-0.701;0.923
1.3840;-0.233;-0.694;-0.687;1.004
1.3950;-0.201;-0.664;-0.785;1.048
1.4040;-0.182;-0.621;-0.767;1.004
1.4140;-0.166;-0.629;-0.712;0.964
1.4250;-0.156;-0.65;-0.728;0.988
1.4470;-0.183;-0.624;-0.769;1.007
1.4480;-0.183;-0.624;-0.769;1.007
1.4540;-0.242;-0.569;-0.781;0.996
1.4640;-0.203;-0.56;-0.792;0.991
1.4740;-0.16;-0.546;-0.763;0.952
1.4840;-0.162;-0.471;-0.714;0.871
1.4940;-0.174;-0.439;-0.674;0.823
1.5040;-0.175;-0.48;-0.609;0.795
1.5140;-0.225;-0.552;-0.598;0.844
1.5240;-0.273;-0.591;-0.612;0.894
1.5470;-0.478;-0.606;-0.681;1.029
1.5480;-0.478;-0.606;-0.681;1.029
1.5540;-0.447;-0.632;-0.612;0.987
1.5640;-0.592;-0.606;-0.68;1.086
1.5740;-0.649;-0.651;-0.788;1.211
1.5840;-0.586;-0.722;-0.793;1.222
1.5940;-0.526;-0.741;-0.72;1.159
1.6040;-0.527;-0.714;-0.71;1.136
1.6140;-0.539;-0.694;-0.755;1.159
1.6240;-0.573;-0.702;-0.809;1.215
1.6460;-0.427;-0.612;-0.961;1.217
1.6470;-0.427;-0.612;-0.961;1.217
1.6530;-0.441;-0.497;-0.939;1.15
1.6630;-0.418;-0.425;-0.846;1.035
1.6740;-0.253;-0.385;-0.708;0.845
1.6840;-0.13;-0.523;-0.537;0.761
1.6940;-0.141;-0.705;-0.461;0.854
1.7030;-0.248;-0.718;-0.522;0.922
1.7140;-0.342;-0.684;-0.594;0.968
1.7240;-0.362;-0.624;-0.628;0.956
1.7470;-0.434;-0.425;-0.645;0.886
1.7480;-0.434;-0.425;-0.645;0.886
1.7530;-0.489;-0.435;-0.756;1.0
1.7630;-0.547;-0.462;-0.824;1.092
1.7730;-0.576;-0.422;-0.804;1.075
1.7830;-0.546;-0.368;-0.796;1.033
1.7930;-0.417;-0.366;-0.742;0.927
1.8030;-0.395;-0.338;-0.684;0.859
1.8130;-0.372;-0.364;-0.655;0.837
1.8230;-0.322;-0.481;-0.554;0.801
1.8450;-0.415;-0.797;-0.366;0.97
1.8460;-0.415;-0.797;-0.366;0.97
1.8530;-0.547;-0.914;-0.331;1.115
1.8630;-0.613;-0.985;-0.288;1.195
1.8730;-0.69;-0.955;-0.277;1.21
1.8830;-0.716;-0.9;-0.126;1.157
1.8930;-0.651;-0.829;-0.119;1.061
1.9030;-0.54;-0.701;-0.236;0.916
1.9130;-0.416;-0.617;-0.382;0.836
1.9230;-0.326;-0.637;-0.48;0.862
1.9440;-0.381;-0.762;-0.406;0.944
1.9450;-0.381;-0.762;-0.406;0.944
1.9530;-0.338;-0.792;-0.385;0.943
1.9630;-0.318;-0.797;-0.392;0.943
1.9730;-0.417;-0.921;-0.353;1.071
1.9830;-0.513;-1.169;-0.357;1.326
1.9930;-0.593;-1.376;-0.414;1.554
2.0030;-0.712;-1.439;-0.452;1.668
2.0130;-0.75;-1.361;-0.41;1.607
2.0230;-0.661;-1.237;-0.362;1.448
2.0470;-0.373;-0.948;-0.356;1.079
2.0480;-0.373;-0.948;-0.356;1.079
2.0520;-0.31;-0.848;-0.366;0.974
2.0620;-0.238;-0.808;-0.338;0.908
2.0720;-0.181;-0.739;-0.296;0.816
2.0830;-0.21;-0.659;-0.238;0.731
2.0930;-0.307;-0.704;-0.246;0.806
2.1030;-0.329;-0.844;-0.336;0.966
2.1120;-0.267;-0.943;-0.407;1.061
2.1230;-0.211;-0.943;-0.439;1.061
2.1460;-0.062;-0.937;-0.394;1.018
2.1470;-0.062;-0.937;-0.394;1.018
2.1520;-0.046;-0.893;-0.325;0.951
2.1620;-0.088;-0.922;-0.275;0.966
2.1720;-0.098;-0.944;-0.188;0.968
2.1820;-0.109;-1.002;-0.204;1.028
2.1920;-0.106;-1.047;-0.417;1.132
2.2020;-0.103;-1.004;-0.51;1.131
2.2130;-0.069;-0.929;-0.518;1.066
2.2220;-0.015;-0.871;-0.493;1.001
2.2440;0.004;-0.825;-0.459;0.944
2.2450;0.004;-0.825;-0.459;0.944
2.2520;0.119;-0.81;-0.397;0.91
2.2620;0.156;-0.889;-0.201;0.925
2.2720;0.156;-0.845;-0.298;0.909
2.2820;-0.026;-0.81;-0.289;0.86
2.2920;-0.028;-0.774;-0.298;0.83
2.3020;0.015;-0.795;-0.249;0.833
2.3120;-0.03;-0.799;-0.289;0.85
2.3220;-0.19;-0.785;-0.424;0.912
2.3420;-0.408;-0.854;-0.418;1.035
2.3430;-0.408;-0.854;-0.418;1.035
2.3520;-0.269;-0.794;-0.386;0.923
2.3620;-0.149;-0.793;-0.386;0.894
2.3720;-0.167;-0.78;-0.5;0.941
2.3820;-0.17;-0.803;-0.3;0.874
2.3920;-0.112;-0.751;-0.449;0.882
2.4020;-0.105;-0.729;-0.942;1.196
2.4120;-0.147;-0.862;-0.813;1.194
2.4220;-0.146;-0.866;-0.723;1.138
2.4420;-0.072;-0.815;-0.338;0.885
2.4430;-0.072;-0.815;-0.338;0.885
2.4510;-0.083;-0.802;-0.126;0.816
2.4610;-0.062;-0.791;0.063;0.796
2.4710;-0.032;-0.767;0.28;0.817
2.4810;-0.035;-0.779;0.392;0.873
2.4920;-0.014;-0.884;0.247;0.918
2.5020;-0.007;-1.065;-0.008;1.065
2.5110;-0.013;-1.107;-0.289;1.144
2.5220;0.049;-1.138;-0.688;1.331
2.5420;-0.012;-1.222;-0.731;1.424
2.5430;-0.012;-1.222;-0.731;1.424
2.5510;-0.08;-1.381;-0.463;1.459
2.5610;-0.128;-1.449;-0.337;1.493
2.5720;-0.159;-1.398;-0.307;1.44
2.5820;-0.163;-1.308;-0.174;1.33
2.5910;-0.134;-1.202;-0.009;1.209
2.6020;-0.128;-1.127;0.183;1.149
2.6110;-0.149;-0.992;0.271;1.039
2.6220;-0.207;-0.769;0.236;0.831
2.6430;-0.167;-0.896;0.21;0.935
2.6440;-0.167;-0.896;0.21;0.935
2.6510;0.016;-1.411;0.209;1.426
2.6610;0.092;-0.659;0.46;0.809
2.6710;-0.133;-0.024;0.131;0.188
2.6810;-0.358;-0.337;-0.104;0.503
2.6920;-0.558;-0.72;-0.313;0.963
2.7010;-0.188;-0.639;-0.334;0.745
2.7110;-0.126;-0.537;-0.343;0.65
2.7210;-0.076;-0.459;-0.515;0.694
2.7430;-0.026;-0.515;-0.793;0.946
2.7430;-0.026;-0.515;-0.793;0.946
2.7510;-0.046;-0.582;-0.732;0.936
2.7610;-0.061;-0.688;-0.592;0.91
2.7710;-0.092;-0.925;-0.19;0.949
2.7810;-0.095;-1.291;0.416;1.36
2.7910;0.014;-1.251;-0.025;1.251
2.8010;0.009;-1.283;-0.482;1.371
2.8110;0.021;-1.75;-0.268;1.771
2.8210;-0.053;-1.273;-0.675;1.442
2.8440;-0.154;-1.474;-0.335;1.519
2.8450;-0.154;-1.474;-0.335;1.519
2.8500;-0.172;-1.493;-0.042;1.503
2.8600;-0.266;-1.797;0.151;1.823
2.8710;-0.619;-2.25;0.009;2.334
2.8800;-0.737;-2.127;-0.134;2.255
2.8910;-0.764;-1.47;0.042;1.657
2.9000;-0.661;-0.855;0.294;1.12
2.9100;-0.465;-0.611;0.09;0.773
2.9210;-0.314;-0.801;0.172;0.877
2.9420;-0.215;-0.922;-0.032;0.947
2.9430;-0.215;-0.922;-0.032;0.947
2.9500;-0.245;-0.954;-0.072;0.988
2.9600;-0.296;-0.905;-0.094;0.957
2.9700;-0.327;-0.877;-0.137;0.946
2.9810;-0.338;-0.88;-0.169;0.958
2.9900;-0.338;-0.895;-0.161;0.97
3.0000;-0.343;-0.946;-0.173;1.021
3.0100;-0.356;-0.955;-0.151;1.03
3.0200;-0.356;-0.958;-0.113;1.028
3.0440;-0.369;-0.949;-0.105;1.024
3.0450;-0.369;-0.949;-0.105;1.024
