time;gFx;gFy;gFz;tgF
0;0.053;-0.356;-0.842;0.916
.0100;0.029;-0.362;-0.831;0.907
.0200;0.005;-0.385;-0.845;0.929
.0330;-0.0;-0.398;-0.829;0.92
.0460;0.015;-0.396;-0.879;0.964
.0500;0.034;-0.388;-0.999;1.072
.0660;0.038;-0.383;-0.992;1.064
.0700;0.022;-0.388;-0.922;1.001
.0820;0.011;-0.393;-0.92;1.0
.0900;0.014;-0.384;-0.979;1.052
.1000;0.03;-0.364;-0.992;1.057
.1100;0.051;-0.342;-0.978;1.037
.1200;0.053;-0.33;-0.923;0.982
.1470;0.024;-0.325;-0.876;0.935
.1480;0.024;-0.325;-0.876;0.935
.1500;0.019;-0.328;-0.881;0.94
.1600;-0.025;-0.336;-0.931;0.99
.1700;-0.024;-0.326;-0.985;1.038
.1800;0.038;-0.299;-0.956;1.002
.1900;-0.008;-0.287;-0.954;0.996
.2000;-0.023;-0.285;-0.996;1.036
.2100;0.008;-0.263;-1.03;1.063
.2200;-0.004;-0.252;-1.038;1.068
.2330;-0.0;-0.258;-1.058;1.089
.2480;-0.0;-0.285;-1.074;1.111
.2490;-0.039;-0.333;-1.087;1.138
.2680;-0.046;-0.352;-1.102;1.158
.2700;-0.067;-0.344;-1.085;1.14
.2830;-0.086;-0.328;-1.021;1.076
.2900;-0.082;-0.312;-0.953;1.006
.2990;-0.1;-0.299;-0.918;0.971
.3100;-0.113;-0.284;-0.898;0.949
.3200;-0.127;-0.29;-0.93;0.982
.3460;-0.144;-0.236;-1.035;1.071
.3470;-0.144;-0.236;-1.035;1.071
.3490;-0.162;-0.24;-1.055;1.094
.3600;-0.159;-0.283;-1.032;1.082
.3700;-0.17;-0.291;-0.969;1.026
.3790;-0.211;-0.279;-0.942;1.005
.3890;-0.249;-0.26;-0.923;0.991
.4000;-0.277;-0.233;-0.911;0.98
.4090;-0.302;-0.211;-0.928;0.998
.4200;-0.329;-0.197;-0.976;1.049
.4470;-0.369;-0.153;-1.092;1.163
.4480;-0.369;-0.153;-1.092;1.163
.4500;-0.435;-0.143;-1.002;1.102
.4590;-0.495;-0.098;-0.918;1.048
.4690;-0.492;-0.087;-0.816;0.957
.4790;-0.43;-0.271;-0.734;0.893
.4890;-0.368;-0.348;-0.63;0.808
.5000;-0.351;-0.277;-0.562;0.718
.5090;-0.388;-0.067;-0.5;0.636
.5200;-0.364;0.005;-0.327;0.489
.5470;-0.455;-0.109;-0.869;0.987
.5480;-0.455;-0.109;-0.869;0.987
.5500;-0.422;-0.076;-0.777;0.887
.5590;-0.371;-0.125;-0.816;0.905
.5690;-0.34;-0.207;-0.818;0.91
.5790;-0.168;-0.228;-0.607;0.67
.5890;-0.061;-0.274;-0.491;0.566
.5990;0.005;-0.33;-0.48;0.583
.6090;-0.054;-0.367;-1.04;1.104
.6190;-0.161;-0.337;-1.335;1.386
.6470;-0.023;-0.241;-1.213;1.237
.6480;0.202;-0.253;-1.21;1.253
.6500;0.202;-0.253;-1.21;1.253
.6590;0.251;-0.459;-1.573;1.658
.6690;0.093;-0.389;-1.354;1.412
.6790;0.171;-0.282;-1.214;1.258
.6890;0.222;-0.303;-1.067;1.131
.6990;0.08;-0.274;-1.037;1.076
.7090;-0.005;-0.168;-1.088;1.101
.7190;-0.051;-0.1;-0.829;0.837
.7470;-0.08;-0.044;-0.727;0.733
.7480;-0.08;-0.044;-0.727;0.733
.7500;-0.08;-0.044;-0.727;0.733
.7590;-0.029;-0.003;-0.747;0.748
.7690;0.066;0.086;-0.805;0.812
.7780;0.125;0.242;-0.911;0.951
.7880;0.064;0.432;-0.976;1.069
.7990;-0.054;0.587;-0.966;1.132
.8080;-0.107;0.776;-0.996;1.267
.8190;-0.079;0.75;-1.039;1.284
.8470;0.589;0.874;-1.558;1.881
.8480;0.589;0.874;-1.558;1.881
.8500;0.589;0.874;-1.558;1.881
.8580;0.621;0.811;-1.445;1.77
.8680;0.621;0.718;-1.406;1.696
.8780;0.526;0.554;-1.453;1.642
.8890;0.51;0.453;-1.505;1.652
.8980;0.537;0.396;-1.508;1.649
.9080;0.501;0.218;-1.527;1.622
.9190;0.589;0.159;-1.362;1.492
.9490;0.581;-0.095;-0.893;1.07
.9500;0.581;-0.095;-0.893;1.07
.9500;0.581;-0.095;-0.893;1.07
.9580;0.429;-0.19;-0.884;1.001
.9680;0.206;-0.226;-0.87;0.922
.9780;0.057;-0.228;-0.765;0.8
.9880;-0.024;-0.227;-0.712;0.748
.9990;-0.094;-0.172;-0.672;0.7
1.0080;-0.107;-0.105;-0.607;0.625
1.0180;-0.109;-0.016;-0.558;0.569
1.0480;0.32;0.309;-0.304;0.539
1.0490;0.32;0.309;-0.304;0.539
1.0500;0.32;0.309;-0.304;0.539
1.0580;0.297;0.279;-0.432;0.594
1.0680;0.23;0.233;-0.658;0.735
1.0780;0.274;0.305;-1.036;1.114
