time,gFx,gFy,gFz,tgF
0,-0.027,0.303,0.995,1.04
.05,-0.083,0.236,0.929,0.962
.10,-0.205,0.114,0.868,0.899
.15,0.214,0.207,1.02,1.062
.20,0.165,0.341,0.776,0.864
.25,-0.005,0.451,0.865,0.976
.30,0.1,0.412,0.784,0.891
.35,0.002,0.282,1.162,1.196
.40,-0.039,0.308,0.879,0.933
.45,-0.042,0.251,1.16,1.188
.50,-0.078,0.229,0.915,0.946
.55,0.017,0.283,1.097,1.133
.60,-0.178,0.247,1.214,1.252
.65,-0.048,0.295,0.783,0.838
.70,0.061,0.377,0.664,0.766
.75,0.187,0.292,0.587,0.682
.80,0.288,0.13,0.803,0.863
.85,0.566,0.415,2.642,2.734
.90,0.085,0.05,0.989,0.994
.95,-0.075,0.035,1.135,1.138
1.00,-0.11,0.142,1.144,1.158
1.05,-0.214,0.189,0.892,0.936
1.10,-0.248,0.241,0.88,0.945
1.15,-0.17,0.129,0.873,0.899
1.20,-0.378,0.249,0.799,0.918
1.25,-0.466,0.18,0.851,0.987
1.30,-0.237,0.139,1.042,1.077
1.35,-0.472,0.382,0.718,0.94
1.40,-0.501,0.407,0.465,0.796
1.45,0.21,0.208,0.235,0.378
1.50,-0.237,0.177,1.23,1.265
1.55,-0.369,0.162,0.701,0.809
1.60,-0.551,-0.003,0.746,0.928
1.65,-0.713,-0.233,0.575,0.945
1.70,-0.659,-0.064,0.983,1.185
1.75,-1.113,-0.395,0.73,1.389
1.80,-0.739,-0.403,0.709,1.1
1.85,-0.915,-0.516,0.632,1.226
1.90,-0.459,-0.335,0.827,1.003
1.95,-0.561,-0.321,0.785,1.017
2.00,-0.837,-0.551,0.656,1.198
2.05,-0.791,-0.595,0.318,1.04
2.10,-0.917,-0.706,0.3,1.195
2.15,-0.93,-0.742,0.391,1.252
2.20,-1.114,-0.889,0.366,1.471
2.25,-0.862,-0.721,0.261,1.154
2.30,-0.305,-0.584,0.111,0.668
2.35,-0.434,-0.228,2.486,2.534
2.40,0.106,-0.361,0.407,0.554
2.45,-1.06,-0.711,0.313,1.314
2.50,-0.494,-0.549,0.254,0.781
2.55,-0.72,-0.672,0.228,1.011
2.60,-0.628,-0.59,0.276,0.905
2.65,-0.572,-0.58,0.234,0.848
2.70,-0.378,-0.521,0.206,0.676
2.75,-0.397,-0.643,0.14,0.769
2.80,-0.664,-1.053,0.089,1.248
2.85,-0.386,-0.976,0.151,1.06
2.90,-0.184,-0.873,0.225,0.92
2.95,-0.105,-0.794,0.521,0.956
3.00,0.288,-1.119,-0.962,1.503
3.05,0.156,-0.813,-0.12,0.837
3.10,0.001,-0.838,0.003,0.838
3.15,0.275,-0.489,0.402,0.69
3.20,-0.013,-0.485,-0.293,0.567
3.25,-0.736,-5.307,0.544,5.386
3.30,-0.15,-0.377,-0.235,0.469
3.35,-0.309,-1.045,0.037,1.09
3.40,0.183,-0.814,-0.039,0.835
3.45,-0.23,-1.133,0.086,1.16
3.50,-0.053,-0.952,0.101,0.959
3.55,-0.0,-1.035,0.003,1.035
3.60,-0.003,-0.906,-0.045,0.907
3.65,-0.05,-0.975,-0.022,0.976
3.70,0.022,-0.978,-0.025,0.979
3.75,-0.024,-1.003,-0.001,1.003
3.80,0.032,-0.991,-0.003,0.991
3.85,-0.031,-0.972,-0.056,0.974
3.90,-0.099,-0.969,-0.075,0.976
3.95,-0.051,-1.013,-0.108,1.02
4.00,-0.027,-1.115,-0.128,1.123
4.05,0.034,-1.114,0.026,1.114
4.10,0.208,-1.103,0.057,1.124
4.15,0.158,-1.256,0.172,1.278
4.20,-0.22,-1.258,0.213,1.295
4.25,-0.198,-0.932,-0.087,0.957
4.30,-0.02,-1.045,-0.205,1.065
4.35,-0.116,-1.125,0.094,1.135
4.40,-0.012,-1.001,0.048,1.003
4.45,-0.141,-1.047,0.135,1.065
4.50,-0.206,-0.907,0.203,0.952
4.55,0.048,-0.827,0.354,0.9
4.60,0.08,-0.8,0.19,0.826
4.65,-0.152,-0.554,0.277,0.637
4.70,0.13,-0.597,0.315,0.687
4.75,0.084,-0.843,0.578,1.026
4.80,0.154,-1.246,1.202,1.738
4.85,0.025,-0.833,0.712,1.096
4.90,-0.479,-1.032,0.072,1.14
4.95,-0.263,-2.63,1.73,3.159
5.00,-0.808,0.143,-0.114,0.828
5.05,0.289,-1.467,-0.588,1.607
5.10,0.011,-0.848,0.705,1.103
5.15,-0.457,-0.755,-0.327,0.942
5.20,0.195,-1.022,0.043,1.042
5.25,0.306,-0.989,0.079,1.038
5.30,-0.055,-0.965,0.055,0.968
5.35,-0.14,-0.992,-0.002,1.002
5.40,-0.108,-0.941,0.008,0.947
5.45,-0.036,-1.082,-0.146,1.092
5.50,0.063,-1.095,0.07,1.099
5.55,0.193,-1.067,0.04,1.085
5.60,0.123,-1.281,0.146,1.295
5.65,0.187,-1.346,0.277,1.387
5.70,-0.59,-1.067,-0.227,1.24
5.75,-0.279,-1.422,-0.317,1.483
5.80,-0.116,-1.173,0.208,1.197
5.85,-0.15,-1.018,0.062,1.031
5.90,-0.021,-0.936,0.17,0.952
5.95,-0.334,-0.703,-0.003,0.778
6.00,-0.195,-0.75,0.075,0.778
6.05,-0.156,-0.581,0.418,0.732
6.10,0.012,-0.57,0.333,0.661
6.15,-0.023,-0.745,0.578,0.943
6.20,0.169,-0.966,0.782,1.255
6.25,0.115,-1.12,1.032,1.527
6.30,-0.115,-0.55,0.565,0.797
6.35,-0.724,-1.033,0.217,1.28
6.40,0.434,-1.226,-0.287,1.332
6.45,-0.67,-0.055,0.031,0.673
6.50,0.291,-1.442,-0.24,1.491
6.55,0.214,-0.84,0.291,0.915
6.60,-0.402,-0.727,0.003,0.831
6.65,-0.042,-1.067,0.108,1.073
6.70,0.219,-0.958,0.003,0.983
6.75,-0.033,-0.973,0.039,0.974
6.80,-0.175,-0.98,0.108,1.001
6.85,-0.107,-0.956,-0.141,0.973
6.90,-0.062,-1.109,0.047,1.111
6.95,0.111,-1.1,-0.081,1.109
7.00,0.14,-1.145,0.046,1.155
7.05,0.02,-1.093,0.185,1.109
7.10,0.467,-1.252,0.022,1.337
7.15,-0.052,-1.216,0.189,1.232
7.20,-0.52,-1.346,-0.277,1.469
7.25,0.023,-1.399,-0.036,1.399
7.30,-0.236,-1.061,0.037,1.087
7.35,-0.139,-0.922,0.035,0.933
7.40,-0.141,-0.811,0.122,0.832
7.45,-0.33,-0.779,-0.034,0.846
7.50,-0.104,-0.795,0.309,0.86
7.55,-0.042,-0.564,0.314,0.647
7.60,0.011,-0.641,0.201,0.672
7.65,0.031,-0.866,0.537,1.019
7.70,0.257,-1.072,0.78,1.351
7.75,0.022,-0.946,0.842,1.266
7.80,-0.081,-0.574,0.419,0.715
7.85,-0.868,-2.628,0.549,2.822
7.90,-0.078,-0.101,-0.923,0.932
7.95,-0.056,-0.381,-0.355,0.524
8.00,0.17,-1.538,0.275,1.572
8.05,-0.418,-0.594,0.116,0.736
8.10,0.006,-1.084,0.144,1.094
8.15,0.151,-1.09,0.092,1.105
8.20,0.063,-0.926,0.017,0.929
8.25,-0.023,-0.995,0.007,0.995
8.30,-0.224,-0.971,0.099,1.001
8.35,-0.155,-0.961,-0.107,0.98
8.40,0.02,-1.035,-0.084,1.039
8.45,-0.019,-1.01,-0.023,1.01
8.50,-0.025,-1.031,-0.041,1.032
8.55,0.025,-1.056,0.067,1.059
8.60,0.172,-1.051,0.18,1.08
8.65,0.45,-1.269,0.158,1.355
8.70,0.013,-1.352,0.237,1.372
8.75,-0.538,-1.148,-0.247,1.291
8.80,-0.092,-1.315,-0.119,1.324
8.85,-0.122,-1.013,0.094,1.024
8.90,-0.065,-0.942,-0.041,0.945
8.95,-0.211,-0.94,0.115,0.97
9.00,-0.221,-0.877,0.102,0.91
9.05,-0.105,-0.731,0.303,0.798
9.10,-0.071,-0.585,0.436,0.733
9.15,-0.03,-0.611,0.327,0.694
9.20,0.004,-0.752,0.533,0.921
9.25,0.102,-1.203,1.105,1.636
9.30,-0.028,-0.81,0.723,1.086
9.35,-0.225,-0.252,0.261,0.427
9.40,-0.572,-3.033,1.712,3.529
9.45,-0.562,0.146,-0.203,0.615
9.50,0.058,-1.305,-0.345,1.351
9.55,-0.363,-0.826,0.342,0.965
9.60,-0.399,-0.775,0.04,0.873
9.65,0.254,-1.051,0.067,1.083
9.70,0.213,-0.993,0.06,1.017
9.75,-0.037,-0.954,0.091,0.959
9.80,-0.14,-0.91,-0.023,0.922
9.85,-0.059,-0.967,0.016,0.969
9.90,-0.014,-1.025,-0.057,1.026
9.95,-0.098,-1.129,-0.024,1.134
10.00,-0.019,-1.152,0.078,1.154
10.05,0.077,-1.16,0.266,1.192
10.10,0.504,-1.284,0.152,1.387
10.15,-0.531,-1.235,0.245,1.366
10.20,-0.203,-1.31,-0.29,1.357
10.25,0.028,-1.316,0.122,1.322
10.30,-0.152,-0.913,0.147,0.937
10.35,0.0,-0.894,0.022,0.894
10.40,-0.081,-0.903,0.1,0.912
10.45,-0.288,-0.754,0.112,0.815
10.50,-0.135,-0.663,0.248,0.721
10.55,-0.102,-0.569,0.314,0.658
10.60,-0.048,-0.676,0.365,0.77
10.65,0.063,-0.878,0.614,1.073
10.70,0.1,-1.092,0.941,1.444
10.75,-0.015,-0.999,1.059,1.456
10.80,-0.766,-1.062,0.397,1.368
10.85,-0.071,-1.914,0.377,1.952
10.90,-0.682,-0.018,-0.085,0.688
10.95,0.386,-1.938,-0.208,1.987
11.00,-0.234,-0.608,0.055,0.654
