time,gFx,gFy,gFz,tgF
0,-0.173,0.317,1.014,1.076
.05,-0.053,0.246,0.829,0.866
.1,0.008,0.185,0.875,0.894
.15,0.052,0.296,1.212,1.248
.2,-0.013,0.261,0.944,0.98
.25,-0.085,0.269,0.886,0.93
.3,0.111,0.305,0.913,0.969
.35,-0.128,0.337,1.046,1.106
.4,-0.138,0.281,1.001,1.048
.45,-0.134,0.348,0.934,1.006
.5,-0.096,0.424,0.894,0.994
.55,-0.16,0.379,0.849,0.943
.6,-0.219,0.316,0.999,1.07
.65,-0.392,0.384,0.714,0.901
.7,-0.309,0.36,0.738,0.877
.75,-0.365,0.452,0.863,1.04
.8,-0.425,0.26,0.871,1.003
.85,-0.076,0.464,0.409,0.623
.9,-0.328,0.521,0.753,0.973
.95,-0.459,0.551,0.717,1.014
1.0,-0.376,0.548,0.77,1.017
1.05,-0.63,0.338,0.733,1.024
1.1,-0.505,0.422,0.466,0.806
1.15,-0.672,0.51,0.816,1.174
1.2,-0.592,0.639,0.841,1.211
1.25,-0.565,0.606,0.744,1.113
1.3,-0.926,0.471,0.71,1.258
1.35,-0.686,0.473,0.888,1.218
1.4,-0.449,0.44,0.587,0.86
1.45,-0.789,0.353,0.37,0.94
1.5,-1.23,0.224,0.002,1.251
1.55,-0.799,0.061,0.731,1.084
1.6,-0.597,0.472,0.458,0.888
1.65,-1.087,-0.007,0.275,1.121
1.7,-1.256,-0.182,0.182,1.282
1.75,-0.746,-0.073,0.145,0.763
1.8,-0.88,-0.297,0.404,1.013
1.85,-0.883,-0.312,0.569,1.096
1.9,-0.979,-0.156,0.356,1.054
1.95,-1.064,-0.258,0.257,1.124
2.0,-0.9,-0.363,0.181,0.987
2.05,-0.837,-0.358,1.56,1.806
2.1,-1.285,-0.4,0.005,1.346
2.15,-1.051,-0.51,-0.251,1.195
2.2,-0.042,-0.297,1.286,1.321
2.25,0.052,-0.054,0.024,0.079
2.3,-0.423,-0.383,-0.035,0.572
2.35,-0.211,-0.528,-0.04,0.57
2.4,-1.224,-0.904,0.051,1.523
2.45,-0.632,-0.807,0.036,1.025
2.5,-0.175,-0.924,0.137,0.95
2.55,-0.441,-0.946,-0.115,1.05
2.6,0.111,-0.888,0.112,0.902
2.65,-0.026,-1.279,-0.084,1.282
2.7,-0.392,-1.255,0.239,1.336
2.75,-0.034,-0.764,0.085,0.77
2.8,0.005,-0.607,0.097,0.615
2.85,-0.064,-0.613,-0.05,0.618
2.9,0.095,-0.571,0.055,0.581
2.95,-0.003,-0.564,0.127,0.578
3.0,0.009,-4.955,0.441,4.974
3.05,-0.518,-0.553,-0.375,0.846
3.1,-0.438,-0.992,0.035,1.085
3.15,-0.045,-1.021,-0.038,1.023
3.2,-0.05,-0.995,-0.039,0.997
3.25,-0.348,-1.238,-0.178,1.298
3.3,-0.099,-0.962,-0.022,0.968
3.35,-0.172,-0.996,0.057,1.012
3.4,0.016,-0.953,-0.012,0.954
3.45,0.009,-0.99,0.052,0.992
3.5,-0.048,-0.989,0.034,0.991
3.55,-0.12,-1.048,0.148,1.065
3.6,0.102,-0.996,0.11,1.007
3.65,0.116,-1.172,-0.058,1.18
3.7,-0.153,-1.488,0.115,1.5
3.75,-0.284,-1.122,0.174,1.171
3.8,-0.048,-1.042,0.048,1.044
3.85,-0.074,-1.016,-0.145,1.029
3.9,-0.017,-1.126,0.119,1.132
3.95,0.15,-0.805,0.101,0.825
4.0,-0.154,-0.871,-0.071,0.888
4.05,-0.253,-0.755,0.127,0.806
4.1,-0.152,-0.808,0.3,0.875
4.15,-0.147,-0.963,0.166,0.988
4.2,-0.333,-1.007,0.244,1.089
4.25,-0.653,-0.912,0.316,1.165
4.3,-0.331,-0.987,0.149,1.052
4.35,0.416,-1.382,0.077,1.446
4.4,-0.805,-0.629,0.353,1.081
4.45,-0.086,-0.892,-0.008,0.896
4.5,0.271,-1.016,-0.082,1.055
4.55,0.053,-1.085,0.328,1.135
4.6,-0.046,-0.951,-0.089,0.956
4.65,-0.311,-0.968,0.012,1.016
4.7,-0.173,-0.965,0.022,0.981
4.75,0.0,-1.045,-0.013,1.045
4.8,0.061,-0.959,-0.245,0.991
4.85,-0.407,-0.971,-0.101,1.057
4.9,-0.229,-0.99,-0.162,1.029
4.95,-0.225,-1.011,-0.083,1.039
5.0,-0.12,-0.974,-0.083,0.985
5.05,-0.108,-0.976,-0.143,0.992
5.1,-0.166,-0.996,-0.125,1.017
5.15,-0.243,-1.009,-0.104,1.043
5.2,-0.183,-0.99,-0.105,1.012
5.25,-0.127,-0.972,-0.108,0.987
5.3,-0.108,-1.013,-0.087,1.022
5.35,-0.154,-1.031,-0.045,1.043
5.4,-0.163,-0.959,-0.114,0.979
5.45,-0.195,-0.913,-0.179,0.951
5.5,-0.23,-0.935,-0.159,0.976
5.55,-0.205,-0.942,-0.151,0.976
5.6,-0.169,-1.061,-0.122,1.081
5.65,-0.124,-1.037,-0.026,1.045
5.7,-0.178,-0.957,-0.146,0.984
5.75,-0.183,-0.952,-0.159,0.982
5.8,-0.185,-0.964,-0.133,0.991
5.85,-0.191,-0.986,-0.124,1.012
5.9,-0.185,-0.99,-0.133,1.016
5.95,-0.198,-0.972,-0.116,0.999
6.0,-0.2,-0.982,-0.109,1.008
6.05,-0.189,-1.041,-0.052,1.06
6.1,-0.144,-0.911,-0.153,0.935
6.15,-0.178,-0.942,-0.14,0.969
6.2,-0.24,-0.962,-0.17,1.006
6.25,-0.201,-0.989,-0.142,1.019
6.3,-0.175,-1.01,-0.098,1.029
6.35,-0.17,-0.985,-0.109,1.005
6.4,-0.159,-0.96,-0.122,0.981
6.45,-0.189,-0.967,-0.125,0.993
6.5,-0.179,-0.98,-0.119,1.003
6.55,-0.173,-0.993,-0.122,1.016
6.6,-0.21,-0.975,-0.115,1.004
6.65,-0.184,-0.967,-0.116,0.991
6.7,-0.167,-0.981,-0.1,1.0
6.75,-0.173,-0.994,-0.099,1.014
6.8,-0.185,-0.982,-0.104,1.005
6.85,-0.189,-0.973,-0.115,0.998
6.9,-0.188,-0.975,-0.115,1.0
6.95,-0.184,-0.985,-0.099,1.007
7.0,-0.177,-0.987,-0.096,1.007
7.05,-0.165,-0.973,-0.104,0.992
7.1,-0.167,-0.978,-0.094,0.997
7.15,-0.172,-0.983,-0.093,1.002
7.2,-0.161,-0.982,-0.09,1.0
7.25,-0.174,-0.983,-0.099,1.004
