time,gFx,gFy,gFz,tgF
0,-0.028,0.173,1.003,1.018
.05,0.01,0.174,1.021,1.036
.1,0.02,0.203,0.972,0.993
.15,0.039,0.205,0.959,0.981
.2,0.037,0.217,0.947,0.972
.25,0.051,0.247,0.97,1.003
.3,0.031,0.242,0.998,1.028
.35,0.05,0.211,0.984,1.007
.4,0.035,0.238,0.932,0.962
.45,0.05,0.238,0.96,0.991
.5,0.04,0.22,0.965,0.991
.55,0.074,0.243,0.892,0.928
.6,0.083,0.235,0.905,0.939
.65,0.106,0.266,0.85,0.897
.7,0.075,0.283,0.911,0.957
.75,-0.034,0.244,1.218,1.242
.8,-0.063,0.263,0.966,1.003
.85,0.155,0.446,0.838,0.962
.9,0.127,0.336,0.879,0.95
.95,0.004,0.384,0.922,0.999
1.0,0.115,0.333,0.971,1.033
1.05,0.107,0.379,0.901,0.983
1.1,0.094,0.37,0.93,1.005
1.15,0.069,0.399,0.91,0.996
1.2,0.12,0.343,0.88,0.952
1.25,0.087,0.386,0.955,1.034
1.3,0.097,0.336,0.917,0.982
1.35,0.05,0.387,0.936,1.014
1.4,0.05,0.363,0.906,0.978
1.45,0.141,0.384,0.989,1.07
1.5,0.103,0.342,0.868,0.939
1.55,0.057,0.447,0.911,1.017
1.6,0.086,0.417,0.825,0.929
1.65,0.029,0.483,0.817,0.949
1.7,0.039,0.472,0.863,0.984
1.75,0.136,0.423,0.959,1.057
1.8,-0.01,0.445,0.949,1.049
1.85,-0.08,0.517,0.889,1.032
1.9,-0.044,0.448,0.82,0.935
1.95,-0.019,0.537,0.944,1.086
2.0,-0.135,0.538,0.747,0.931
2.05,0.019,0.671,0.626,0.917
2.1,0.24,0.45,0.599,0.786
2.15,0.031,0.44,0.749,0.869
2.2,-0.149,0.444,0.624,0.78
2.25,-0.181,0.471,0.786,0.934
2.3,-0.553,0.338,0.714,0.964
2.35,-0.547,0.351,0.773,1.01
2.4,-0.587,0.179,0.745,0.966
2.45,-0.761,0.135,1.046,1.301
2.5,-0.665,0.102,1.007,1.211
2.55,-0.751,-0.024,0.823,1.115
2.6,-0.968,-0.236,0.888,1.334
2.65,-0.866,-0.206,0.682,1.122
2.7,-0.939,-0.274,0.539,1.116
2.75,-0.922,-0.426,0.44,1.107
2.8,-0.908,-0.427,0.439,1.095
2.85,-0.704,-0.404,0.185,0.833
2.9,-0.846,-0.582,0.154,1.039
2.95,-1.096,-0.653,-0.072,1.278
3.0,-0.494,-0.206,0.495,0.729
3.05,-0.872,-0.443,0.025,0.979
3.1,-0.842,-0.345,0.11,0.917
3.15,-0.63,-0.142,0.013,0.645
3.2,-0.348,-0.297,0.125,0.474
3.25,-1.421,-0.789,-0.177,1.635
3.3,-0.595,-0.246,0.232,0.684
3.35,-0.48,-0.837,0.036,0.965
3.4,-0.634,-1.019,-0.359,1.253
3.45,-0.366,-0.826,0.072,0.906
3.5,-0.541,-0.945,0.082,1.092
3.55,-0.325,-0.885,-0.029,0.944
3.6,-0.294,-1.121,-0.174,1.172
3.65,-0.277,-1.045,-0.203,1.1
3.7,-0.119,-0.662,0.253,0.719
3.75,0.093,-0.492,-0.123,0.516
3.8,0.1,-0.546,-0.119,0.567
3.85,0.594,-1.834,0.006,1.928
3.9,0.694,-2.466,-0.258,2.575
3.95,0.482,-0.62,-0.103,0.792
4.0,0.401,-0.918,-0.134,1.011
4.05,0.425,-0.907,0.014,1.002
4.1,0.395,-0.928,-0.055,1.01
4.15,0.444,-0.886,-0.033,0.991
4.2,0.439,-0.895,-0.07,0.999
4.25,0.428,-0.894,-0.055,0.993
4.3,0.443,-0.899,-0.042,1.003
4.35,0.441,-0.9,-0.038,1.003
4.4,0.403,-0.898,-0.034,0.985
4.45,0.367,-0.899,-0.022,0.971
4.5,0.388,-0.916,-0.027,0.995
4.55,0.36,-0.908,-0.021,0.977
4.6,0.381,-0.914,-0.034,0.991
4.65,0.406,-0.916,-0.052,1.003
4.7,0.421,-0.895,-0.041,0.99
4.75,0.442,-0.897,-0.078,1.003
4.8,0.435,-0.898,-0.073,1.0
4.85,0.376,-0.882,-0.04,0.959
4.9,0.43,-0.886,0.003,0.985
4.95,0.525,-0.898,-0.017,1.04
5.0,0.24,-0.905,-0.005,0.937
5.05,0.425,-0.938,-0.138,1.039
5.1,0.364,-0.87,0.019,0.943
5.15,0.371,-0.893,-0.022,0.968
5.2,0.472,-0.918,-0.052,1.034
5.25,0.431,-0.892,-0.023,0.991
5.3,0.401,-0.904,-0.055,0.99
5.35,0.398,-0.901,-0.046,0.986
5.4,0.412,-0.898,-0.05,0.99
5.45,0.426,-0.894,-0.063,0.993
5.5,0.42,-0.891,-0.066,0.987
5.55,0.409,-0.903,-0.038,0.992
5.6,0.393,-0.912,-0.052,0.995
5.65,0.395,-0.902,-0.054,0.986
5.7,0.398,-0.899,-0.063,0.985
5.75,0.401,-0.9,-0.058,0.987
5.8,0.388,-0.911,-0.043,0.992
5.85,0.356,-0.921,-0.052,0.989
5.9,0.369,-0.908,-0.057,0.982
5.95,0.406,-0.912,-0.077,1.001
6.0,0.404,-0.904,-0.088,0.994
6.05,0.395,-0.883,-0.097,0.973
6.1,0.396,-0.895,-0.146,0.99
6.15,0.453,-0.888,-0.098,1.002
6.2,0.434,-0.896,-0.101,1.001
6.25,0.443,-0.908,-0.112,1.016
6.3,0.455,-0.9,-0.096,1.013
