time,gFx,gFy,gFz,tgF
0,-0.03,0.315,0.93,0.982
.05,-0.037,0.317,0.996,1.046
.1,-0.03,0.328,0.953,1.008
.15,-0.011,0.335,0.96,1.017
.2,-0.025,0.312,0.924,0.975
.25,-0.042,0.302,0.923,0.972
.3,-0.031,0.31,0.872,0.926
.35,-0.051,0.345,0.983,1.043
.4,-0.005,0.295,0.934,0.979
.45,-0.041,0.361,0.982,1.047
.5,-0.022,0.328,0.892,0.95
.55,-0.017,0.386,0.948,1.024
.6,-0.038,0.35,0.904,0.97
.65,0.017,0.393,0.941,1.02
.7,-0.025,0.367,0.894,0.966
.75,-0.025,0.37,0.931,1.002
.8,-0.011,0.402,0.867,0.956
.85,-0.015,0.356,0.976,1.039
.9,-0.027,0.349,0.975,1.036
.95,-0.036,0.349,0.905,0.971
1.0,-0.016,0.358,0.92,0.987
1.05,-0.004,0.358,0.922,0.989
1.1,-0.041,0.351,0.975,1.037
1.15,-0.015,0.362,0.912,0.981
1.2,-0.04,0.355,0.897,0.965
1.25,-0.025,0.364,0.943,1.011
1.3,-0.028,0.357,0.91,0.978
1.35,-0.026,0.358,0.923,0.99
1.4,0.021,0.365,0.929,0.998
1.45,0.056,0.39,0.944,1.023
1.5,-0.102,0.277,0.669,0.731
1.55,-0.012,0.474,1.029,1.133
1.6,-0.243,0.443,0.892,1.025
1.65,-0.21,0.409,0.881,0.994
1.7,0.067,0.42,0.974,1.063
1.75,-0.072,0.38,0.792,0.882
1.8,-0.132,0.425,0.877,0.983
1.85,-0.197,0.373,0.937,1.027
1.9,-0.153,0.342,1.081,1.144
1.95,-0.245,0.377,0.863,0.973
2.0,-0.225,0.463,0.801,0.951
2.05,-0.146,0.521,0.853,1.01
2.1,-0.286,0.676,0.729,1.034
2.15,-0.168,0.516,0.751,0.926
2.2,-0.15,0.501,0.841,0.991
2.25,-0.182,0.534,0.825,0.999
2.3,-0.165,0.526,0.849,1.013
2.35,0.03,0.576,0.656,0.873
2.4,-0.04,0.449,0.632,0.777
2.45,0.209,0.558,0.916,1.093
2.5,0.19,0.543,0.935,1.097
2.55,0.094,0.494,0.727,0.884
2.6,0.159,0.592,0.824,1.027
2.65,0.219,0.55,0.85,1.036
2.7,0.21,0.52,0.808,0.984
2.75,0.193,0.535,0.865,1.035
2.8,0.237,0.516,0.804,0.985
2.85,0.175,0.458,0.856,0.986
2.9,0.174,0.304,0.736,0.815
2.95,0.057,0.223,0.801,0.833
3.0,0.081,0.099,0.74,0.75
3.05,-0.201,-0.14,0.651,0.695
3.1,-0.472,-0.25,0.907,1.053
3.15,-0.371,-0.061,1.25,1.305
3.2,-0.396,-0.098,1.16,1.23
3.25,-0.909,-0.252,1.347,1.644
3.3,-0.491,-0.174,1.042,1.165
3.35,-0.941,-0.522,0.608,1.237
3.4,-0.758,-0.426,0.785,1.172
3.45,-0.377,-0.28,1.133,1.227
3.5,-0.556,-0.395,0.452,0.818
3.55,-0.272,-0.421,0.341,0.606
3.6,-0.137,-0.795,-0.013,0.807
3.65,-1.533,-1.072,0.0,1.871
3.7,-0.567,-0.571,0.418,0.907
3.75,-0.309,-0.982,0.034,1.03
3.8,-0.333,-1.032,0.208,1.104
3.85,-0.276,-0.949,0.47,1.094
3.9,-0.278,-0.949,0.301,1.034
3.95,-0.098,-0.842,0.172,0.865
4.0,-0.004,-0.806,0.198,0.83
4.05,0.147,-0.913,0.131,0.934
4.1,0.215,-0.671,-0.016,0.705
4.15,0.164,-0.658,0.065,0.681
4.2,0.16,-0.715,0.206,0.761
4.25,0.875,-2.407,0.705,2.656
4.3,0.351,-0.715,-0.109,0.804
4.35,0.317,-0.935,0.111,0.994
4.4,0.458,-0.887,0.112,1.004
4.45,0.419,-0.854,0.042,0.952
4.5,0.416,-0.877,0.047,0.971
4.55,0.425,-0.903,0.078,1.001
4.6,0.4,-0.945,0.022,1.026
4.65,0.411,-0.982,0.072,1.067
4.7,0.35,-0.973,0.041,1.035
4.75,0.334,-0.921,-0.012,0.979
4.8,0.441,-1.002,-0.061,1.097
4.85,0.378,-0.902,-0.025,0.978
4.9,0.425,-0.996,-0.033,1.083
4.95,0.384,-0.904,0.029,0.982
5.0,0.369,-0.97,-0.003,1.038
5.05,0.396,-0.922,-0.012,1.003
5.1,0.364,-0.909,-0.025,0.979
5.15,0.433,-0.916,-0.03,1.014
5.2,0.358,-0.902,-0.009,0.971
5.25,0.435,-0.918,-0.001,1.016
5.3,0.387,-0.934,-0.011,1.011
5.35,0.351,-0.926,0.006,0.99
5.4,0.502,-0.996,0.003,1.115
5.45,0.482,-0.978,0.005,1.09
5.5,0.693,-1.167,0.029,1.357
5.55,0.002,-0.825,0.003,0.825
5.6,0.348,-0.562,0.016,0.661
5.65,0.399,-0.821,0.059,0.914
5.7,0.752,-0.986,-0.015,1.241
5.75,0.461,-0.877,0.034,0.991
5.8,0.44,-0.878,0.038,0.982
5.85,0.469,-0.86,0.05,0.981
5.9,0.473,-0.878,0.049,0.998
5.95,0.441,-0.869,0.053,0.975
6.0,0.462,-0.857,0.085,0.977
6.05,0.485,-0.87,-0.026,0.996
6.1,0.517,-0.865,0.015,1.008
6.15,0.44,-0.894,0.039,0.998
6.2,0.429,-0.888,0.048,0.987
6.25,0.425,-0.905,0.012,1.0
6.3,0.445,-0.892,0.024,0.997
6.35,0.422,-0.889,0.006,0.984
6.4,0.426,-0.882,0.012,0.979
6.45,0.498,-0.878,-0.016,1.01
6.5,0.486,-0.876,-0.0,1.002
6.55,0.46,-0.864,0.01,0.979
6.6,0.486,-0.878,0.007,1.003
6.65,0.492,-0.872,0.023,1.002
6.7,0.498,-0.867,0.0,1.0
6.75,0.462,-0.868,-0.006,0.983
6.8,0.443,-0.874,-0.006,0.98
6.85,0.422,-0.906,0.025,1.0
6.9,0.371,-0.926,0.064,1.0
6.95,0.369,-0.901,0.047,0.975
7.0,0.394,-0.882,-0.017,0.966
7.05,0.443,-0.877,-0.048,0.983
7.1,0.442,-0.876,-0.052,0.983
7.15,0.461,-0.879,-0.041,0.994
7.2,0.46,-0.897,-0.03,1.008
7.25,0.493,-0.894,-0.046,1.022
7.3,0.536,-0.861,-0.05,1.016
7.35,0.516,-0.865,-0.047,1.008
7.4,0.508,-0.856,-0.079,0.998
7.45,0.5,-0.856,-0.069,0.994
7.5,0.516,-0.874,-0.049,1.016
7.55,0.502,-0.869,-0.068,1.006
7.6,0.436,-0.895,-0.068,0.998
7.65,0.44,-0.887,-0.074,0.993
7.7,0.46,-0.871,-0.087,0.989
7.75,0.486,-0.862,-0.1,0.994
7.8,0.493,-0.868,-0.096,1.003
7.85,0.484,-0.857,-0.099,0.99
7.9,0.48,-0.865,-0.1,0.995
7.95,0.481,-0.876,-0.082,1.002
8.0,0.492,-0.859,-0.102,0.995
8.05,0.481,-0.87,-0.088,0.998
8.1,0.474,-0.867,-0.084,0.992
8.15,0.449,-0.889,-0.076,0.999
8.2,0.464,-0.884,-0.064,1.0
8.25,0.467,-0.868,-0.027,0.986
8.3,0.49,-0.871,-0.068,1.001
8.35,0.496,-0.865,-0.092,1.001
8.4,0.518,-0.87,-0.062,1.014
8.45,0.509,-0.859,-0.087,1.002
8.5,0.479,-0.876,-0.077,1.002
8.55,0.458,-0.872,-0.068,0.987
8.6,0.439,-0.888,-0.021,0.991
8.65,0.431,-0.907,0.006,1.004
8.7,0.403,-0.916,0.019,1.001
8.75,0.428,-0.879,0.025,0.978
8.8,0.386,-0.918,0.021,0.996
8.85,0.42,-0.878,0.02,0.974
8.9,0.425,-0.886,0.041,0.984
8.95,0.441,-0.892,0.054,0.996
9.0,0.458,-0.89,0.034,1.002
9.05,0.452,-0.873,0.06,0.985
9.1,0.443,-0.894,0.055,0.999
9.15,0.419,-0.883,0.06,0.979
9.2,0.469,-0.877,0.059,0.996
9.25,0.464,-0.879,0.071,0.996
9.3,0.444,-0.885,0.05,0.991
9.35,0.459,-0.877,0.052,0.991
9.4,0.479,-0.863,0.052,0.989
9.45,0.459,-0.851,0.065,0.969
9.5,0.476,-0.893,0.096,1.017
9.55,0.472,-0.886,0.143,1.014
9.6,0.456,-0.896,0.202,1.025
9.65,0.417,-0.921,0.266,1.045
9.7,0.339,-0.98,0.313,1.083
9.75,0.373,-0.945,0.189,1.034
9.8,0.286,-0.88,0.258,0.96
9.85,0.306,-0.892,0.449,1.045
9.9,0.396,-0.886,0.429,1.061
9.95,0.334,-0.796,0.499,0.997
10.0,0.341,-0.756,0.536,0.988
10.05,0.312,-0.701,0.642,1.001
10.1,0.289,-0.675,0.662,0.989
10.15,0.304,-0.559,0.677,0.929
10.2,0.311,-0.471,0.633,0.848
10.25,0.257,-0.291,0.646,0.754
10.3,0.277,-0.322,0.685,0.806
10.35,0.285,-0.309,0.746,0.856
10.4,0.487,-0.181,0.912,1.049
10.45,0.647,-0.392,1.469,1.653
10.5,0.409,0.833,-0.403,1.012
10.55,0.775,-0.792,0.505,1.218
10.6,0.25,-0.311,0.351,0.532
10.65,0.339,-1.08,-0.106,1.137
10.7,0.428,-0.957,-0.079,1.052
10.75,0.346,-1.334,0.84,1.614
10.8,0.628,-3.968,-0.242,4.024
10.85,1.655,-1.992,2.97,3.94
10.9,-2.018,-0.932,-0.311,2.245
10.95,-1.609,-0.341,-0.817,1.836
11.0,0.482,-1.545,0.948,1.876
11.05,0.18,-4.279,1.155,4.436
11.1,1.198,-2.822,-0.149,3.07
11.15,0.231,2.966,-1.138,3.185
11.2,0.8,0.755,-0.777,1.347
11.25,1.029,-0.167,-0.367,1.106
11.3,0.66,-2.061,1.618,2.702
11.35,-1.496,0.399,-3.994,4.284
11.4,3.143,-2.137,1.043,3.941
11.45,-0.073,-4.451,-0.818,4.527
11.5,-1.855,-2.568,0.667,3.237
11.55,0.727,-2.671,3.037,4.109
