time,gFx,gFy,gFz,tgF
0,-0.074,0.531,0.846,1.001
.05,-0.029,0.61,0.773,0.985
.10,-0.03,0.567,0.667,0.876
.15,0.04,0.587,0.815,1.005
.20,0.008,0.559,0.875,1.039
.25,0.212,0.669,0.751,1.028
.30,0.237,0.684,0.705,1.01
.35,0.216,0.702,0.816,1.098
.40,0.02,0.753,0.587,0.955
.45,-0.104,0.721,0.601,0.944
.50,-0.022,0.647,0.737,0.981
.55,-0.024,0.571,0.904,1.07
.60,-0.059,0.503,0.872,1.008
.65,-0.151,0.31,1.049,1.104
.70,0.115,0.431,0.868,0.976
.75,0.378,0.857,0.456,1.042
.80,0.374,0.67,1.013,1.27
.85,0.377,0.487,0.841,1.042
.90,0.334,0.589,0.601,0.906
.95,0.298,0.448,0.953,1.094
1.00,0.306,0.443,0.874,1.026
1.05,0.293,0.425,0.822,0.971
1.10,0.303,0.418,0.907,1.044
1.15,0.385,0.522,0.72,0.969
1.20,0.348,0.415,0.805,0.97
1.25,0.383,0.454,0.839,1.027
1.30,0.356,0.446,0.832,1.009
1.35,0.348,0.478,0.803,0.997
1.40,0.424,0.492,0.741,0.985
1.45,0.251,0.18,1.056,1.1
1.50,0.138,0.186,1.003,1.03
1.55,0.26,0.232,0.797,0.87
1.60,0.292,0.245,0.762,0.852
1.65,0.394,0.201,0.949,1.047
1.70,0.438,0.247,0.927,1.055
1.75,0.28,0.11,0.857,0.909
1.80,-0.136,-0.078,1.102,1.113
1.85,0.015,0.007,0.95,0.951
1.90,0.068,-0.14,0.852,0.866
1.95,0.143,-0.031,1.12,1.129
2.00,0.437,0.097,0.784,0.903
2.05,0.346,0.017,1.091,1.144
2.10,0.024,-0.372,1.074,1.137
2.15,-0.034,-0.321,1.129,1.174
2.20,-0.067,0.042,1.11,1.113
2.25,0.099,0.028,0.922,0.928
2.30,0.115,0.307,0.997,1.049
2.35,0.546,-0.047,0.809,0.978
2.40,0.183,-0.596,1.045,1.217
2.45,0.16,-0.431,1.001,1.102
2.50,-0.14,-0.372,0.861,0.948
2.55,0.173,-0.041,0.599,0.625
2.60,0.088,-0.058,0.798,0.805
2.65,0.166,-0.081,0.999,1.016
2.70,0.113,-0.171,1.016,1.036
2.75,0.136,-0.274,0.913,0.963
2.80,0.134,-0.055,0.995,1.005
2.85,0.066,0.413,1.076,1.154
2.90,0.234,-0.816,0.974,1.292
2.95,0.112,-0.827,0.901,1.228
3.00,0.016,-0.108,0.865,0.872
3.05,-0.115,-0.012,0.923,0.93
3.10,-0.016,-0.123,0.987,0.995
3.15,0.115,-0.099,0.97,0.982
3.20,0.031,-0.118,0.997,1.004
3.25,0.055,-0.142,0.979,0.991
3.30,0.031,-0.178,0.949,0.966
3.35,-0.026,-0.204,0.943,0.966
3.40,-0.001,0.288,0.835,0.883
3.45,0.094,-0.349,0.868,0.94
3.50,-0.03,-0.732,1.032,1.265
3.55,0.039,-0.275,0.953,0.993
3.60,-0.193,0.442,0.847,0.975
3.65,-0.023,0.184,1.014,1.031
3.70,0.117,-0.928,0.928,1.318
3.75,0.072,-0.222,0.858,0.889
3.80,0.04,-0.083,0.941,0.946
3.85,0.066,0.044,1.114,1.117
3.90,-0.083,-0.662,0.941,1.153
3.95,0.174,-0.574,0.908,1.089
4.00,0.12,-0.06,0.906,0.916
4.05,0.036,0.073,0.979,0.982
4.10,-0.071,-0.292,1.022,1.065
4.15,0.216,-0.672,0.925,1.164
4.20,0.093,-0.068,0.898,0.906
4.25,-0.007,-0.168,1.027,1.041
4.30,0.022,0.081,0.891,0.895
4.35,0.161,-0.415,0.919,1.021
4.40,0.227,-0.508,0.935,1.088
4.45,0.059,-0.242,0.925,0.958
4.50,0.068,-0.178,0.932,0.951
4.55,0.087,-0.192,0.913,0.938
4.60,0.113,-0.404,0.966,1.053
4.65,0.22,-0.485,0.932,1.074
4.70,0.063,-0.312,0.905,0.959
4.75,0.053,-0.193,0.925,0.946
4.80,-0.023,-0.184,0.956,0.974
4.85,0.099,-0.217,0.929,0.959
4.90,0.111,-0.309,0.955,1.01
4.95,0.117,-0.354,0.944,1.015
5.00,0.077,-0.265,0.947,0.986
5.05,0.063,-0.308,0.946,0.997
5.10,0.076,-0.26,0.96,0.998
5.15,0.094,-0.217,0.935,0.964
5.20,0.048,-0.451,0.912,1.019
5.25,0.099,-0.304,0.948,1.001
5.30,0.092,-0.19,0.948,0.971
5.35,0.106,-0.216,0.95,0.98
5.40,0.117,-0.168,0.933,0.956
5.45,0.108,-0.169,0.945,0.966
5.50,0.065,-0.24,0.945,0.977
5.55,0.084,-0.298,0.95,0.999
5.60,0.083,-0.262,0.947,0.986
5.65,0.089,-0.254,0.957,0.995
5.70,0.073,-0.243,0.965,0.997
5.75,0.051,-0.283,0.94,0.983
5.80,0.066,-0.295,0.948,0.995
5.85,-0.004,-0.219,0.919,0.944
5.90,0.112,-0.274,0.932,0.978
5.95,0.094,-0.26,0.944,0.984
6.00,-0.004,-0.303,0.946,0.994
6.05,0.058,-0.251,0.941,0.975
6.10,0.022,-0.209,0.945,0.968
6.15,0.041,-0.287,0.923,0.967
6.20,0.042,-0.343,0.932,0.994
6.25,0.058,-0.251,0.915,0.951
6.30,0.073,-0.291,0.977,1.022
6.35,0.026,-0.258,0.947,0.982
6.40,-0.017,-0.311,0.943,0.994
6.45,-0.033,-0.324,0.935,0.991
6.50,0.048,-0.311,0.934,0.986
6.55,-0.041,-0.339,0.917,0.979
6.60,0.107,-0.253,0.969,1.008
6.65,0.055,-0.318,0.941,0.995
6.70,-0.026,-0.271,0.895,0.936
6.75,0.063,-0.356,0.94,1.007
6.80,0.082,-0.307,0.956,1.008
6.85,0.083,-0.323,0.959,1.016
6.90,0.117,-0.496,0.95,1.078
6.95,0.186,-0.398,0.968,1.064
7.00,0.083,-0.181,0.872,0.894
7.05,-0.01,0.055,0.95,0.952
7.10,0.038,0.135,0.857,0.869
7.15,-0.039,-0.164,1.123,1.136
7.20,-0.015,-0.263,0.978,1.013
7.25,0.206,-0.297,0.97,1.035
7.30,0.148,-0.315,0.905,0.97
7.35,0.109,-0.145,0.987,1.004
7.40,0.106,-0.183,0.956,0.979
7.45,0.078,-0.21,0.954,0.98
7.50,0.076,-0.185,0.954,0.975
7.55,0.064,-0.254,0.922,0.958
7.60,0.097,-0.195,0.949,0.974
7.65,0.112,-0.131,0.972,0.987
7.70,0.084,-0.176,0.939,0.96
7.75,0.141,-0.23,0.955,0.993
7.80,0.105,-0.215,0.951,0.981
7.85,0.092,-0.213,0.958,0.986
7.90,0.078,-0.238,0.95,0.982
7.95,0.087,-0.178,0.966,0.986
8.00,0.07,-0.156,0.948,0.963
8.05,0.061,-0.183,0.965,0.984
8.10,0.081,-0.225,0.97,0.999
8.15,0.142,-0.261,0.976,1.02
8.20,0.16,-0.31,0.905,0.97
8.25,0.055,-0.213,0.929,0.955
8.30,0.094,-0.135,0.942,0.956
8.35,0.139,-0.151,0.992,1.013
8.40,0.153,-0.18,0.95,0.979
8.45,0.162,-0.257,0.961,1.008
8.50,0.093,-0.18,0.928,0.949
8.55,0.066,-0.313,1.044,1.092
8.60,0.242,-0.206,0.885,0.94
8.65,0.268,-0.158,1.048,1.093
8.70,0.178,-0.16,1.017,1.045
8.75,0.222,-0.524,0.937,1.097
8.80,0.702,-0.079,0.95,1.184
8.85,0.572,0.044,0.787,0.974
8.90,0.306,-0.129,0.634,0.716
8.95,0.53,-0.255,1.062,1.214
9.00,-0.114,-0.196,0.658,0.696
9.05,0.01,-0.075,1.207,1.21
9.10,-0.346,-0.199,1.246,1.308
9.15,-0.037,-0.139,1.265,1.273
9.20,-0.012,0.03,0.947,0.947
9.25,0.085,0.123,0.923,0.935
9.30,0.05,0.208,0.857,0.884
9.35,-0.138,0.022,0.839,0.851
9.40,0.052,-0.004,0.971,0.972
9.45,0.064,0.022,1.034,1.037
9.50,-0.067,0.052,0.918,0.922
9.55,0.161,0.078,0.953,0.969
9.60,0.164,0.06,0.903,0.92
9.65,0.113,0.058,0.795,0.805
9.70,0.12,0.118,0.828,0.845
9.75,0.137,0.114,0.806,0.825
9.80,0.137,0.108,0.848,0.865
9.85,0.091,-0.004,0.933,0.938
9.90,0.188,0.032,0.965,0.983
9.95,0.159,0.041,0.882,0.897
10.00,0.224,0.076,0.933,0.962
10.05,0.139,-0.01,1.001,1.011
10.10,0.295,0.031,0.99,1.034
10.15,0.384,0.122,0.901,0.987
10.20,0.274,0.038,0.969,1.008
10.25,0.189,0.009,1.073,1.09
10.30,0.147,0.061,1.145,1.156
10.35,0.109,0.136,0.881,0.898
10.40,0.072,0.113,0.824,0.835
10.45,0.231,0.1,0.776,0.816
10.50,0.424,-0.021,0.966,1.055
10.55,0.305,0.003,0.922,0.971
10.60,0.23,-0.023,1.009,1.035
10.65,0.15,0.072,1.026,1.039
10.70,0.229,0.067,1.049,1.076
10.75,0.296,0.091,0.991,1.038
10.80,0.25,0.029,0.92,0.954
10.85,0.223,0.016,0.97,0.996
10.90,0.29,-0.068,0.962,1.007
10.95,0.251,0.04,1.035,1.066
11.00,0.111,-0.053,0.961,0.969
11.05,0.181,0.005,0.966,0.983
11.10,0.212,0.005,0.985,1.007
11.15,0.154,0.034,0.942,0.955
11.20,0.184,0.043,0.939,0.958
11.25,0.203,-0.004,0.925,0.947
11.30,0.153,-0.02,0.956,0.968
11.35,0.119,-0.01,0.988,0.995
11.40,0.119,-0.016,0.973,0.98
11.45,0.112,0.005,1.018,1.024
11.50,0.101,-0.026,0.994,1.0
11.55,0.07,-0.017,1.01,1.012
11.60,0.128,0.018,0.972,0.981
11.65,0.12,0.018,0.964,0.972
11.70,0.115,0.066,0.977,0.986
11.75,0.111,0.008,1.007,1.013
11.80,0.082,-0.03,0.98,0.984
11.85,0.117,0.024,0.972,0.98
11.90,0.129,0.03,0.988,0.997
11.95,0.108,0.061,0.948,0.956
12.00,0.117,0.051,0.986,0.994
